task_index,task_id,matched_tmax,shuffled_tmax,matched_advantage,binary_material_fraction,direct_gradient_tmax,relative_gap_to_direct_gradient
0,8b3bfefc7f914f920a892edfb68771b9e81be78889f3dfc68dbfcc50b7d6a117,0.19646439077374442,0.4201788242807238,0.5324267206705174,0.25,0.17183343234182744,0.14334206153153442
1,85b8bba89f2470f302978c6c6db1ffc24f52fb4d224ca06284391ae31fb59a85,0.2700923332554084,0.3482174170710105,0.22435719750247418,0.25,0.16870454355910836,0.6009784179925016
2,2e9132acd0f83a92366f8dcf5a18e0bd2918f2c1f4a93b91c721141429f2d1c0,0.18970380128339515,0.29284170289130346,0.3521967690721662,0.25,0.15188174175111174,0.24902308267087378
3,32ef2ab494b8629eb36881798fcdb2e85199a388b2e87060792f5a44ef9ac591,0.1845225795438092,0.2740199345418184,0.32660892043367346,0.25,0.1523906486150115,0.2108523798594325
4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,0.19416846772946006,0.45746911628949605,0.5755593966553445,0.25,0.17226921637701237,0.12712225557769433
5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,0.16090749061826204,0.31776916028398533,0.4936340251695239,0.25,0.1305826264927226,0.2322274022205355
6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,0.16038562652304744,0.19786513033285721,0.18941944822091766,0.25,0.12965838443198907,0.23698615577904272
7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,0.18930591031745442,0.28537931146768447,0.3366515976793543,0.25,0.15714627572508666,0.20464776810000995
8,46ed40b69c025bd39164d640cf34e9724ae4682637bca1284cb4b7957e942984,0.23356751270972467,0.2873441708504023,0.18715068407869304,0.25,,
9,569242322c9b5b2eee171be6732698fe9a21a5f2c1d9b84af8c8d8d97c8baa45,0.16486690312459376,0.3331687756705742,0.5051549990158487,0.25,,
10,d11fc9871c9f86468d4481918ceac9d3a8e08383a0e8e44d8ae90a668774d241,0.20609626166844128,0.2567097531433783,0.19716232381193644,0.25,,
11,63011dbf6f9e9901fb8178b0af3d4847297f44cd71ef646910bea41baffc802e,0.224209387202913,0.2669308478485773,0.1600469222272093,0.25,,
12,231ccab8ef938da783182ba3c69514454c399cdc8f359442fd2ebcc6a4cf6967,0.17382364202676784,0.324410971656143,0.4641869196365809,0.25,,
13,66bc814a14e3750de55feaa939f6c3b0803be6f11f3c8469ea8fcd5604bf4f76,0.16200597134868336,0.22623028886007296,0.2838891195118146,0.25,,
14,4dc3e3682dd538e657a5e36d181f5886be516d4ca9f0765666d2fe443069ba07,0.1943990723653541,0.31047628478452965,0.3738682086450921,0.25,,
15,3dc71a8026cf176a7c2304ab6ef2b151580f3d0ea66c3fc8a469e7f1f9f6a6ee,0.2280946078956952,0.4686716792623978,0.5133168527386298,0.25,,
16,2af2b400deeac908e49ee1451a4f8af6a1d2ec2e8958918eb34e36b663e6d4ad,0.2584454630952324,0.2860662173403137,0.09655370879471137,0.25,,
17,75f39e4eebb06b6785de01fb2a31fc571a2ec3456d92dbf09fce5f79d455196c,0.2109816285799892,0.34322229172957114,0.38529159188114714,0.25,,
18,f4ece7d737b76e01c5014072c3532767f34501ca99a6451cbad28a872cabfc78,0.21698767848765232,0.4890077215032809,0.556269422861871,0.25,,
19,dcdae30491623e954cd149a0efb86d707466306eb0a513eed3def915f8e71443,0.18204768931354126,0.3433068374835054,0.4697230889778361,0.25,,
20,77059e75195a0b81facf226b4e071ddb158fb843893ade2f83035a3635d7e2e0,0.22823565125422898,0.23871342688406166,0.04389269496315985,0.25,,
21,4ab9eb5c9f7a0f55b84b696c757a64089ad3f4128876a5e93d434852691dc911,0.20238051042570188,0.21571594073081476,0.06181940129196923,0.25,,
22,91e6d9f16b8b0ca0071bdcf76165e97eb5b777a70d82236d7b3481c0a6afee9a,0.20766122832995215,0.2764248021378961,0.24876050656858514,0.25,,
23,e13cf57ce6e1026b692ce99a3c4ca73d63e0bb61c00a4b755f479383238ea02a,0.21136244028885742,0.2956089543044923,0.28499310588831717,0.25,,
24,5213fa694c90a9c22dc5fc9ff63cd6bc34702c4c53d5e66f028d306cf3f040d7,0.197110979773297,0.34693586418123007,0.43185182010951895,0.25,,
25,5a97ee0cb94f0d9665b61d0e4e5538a05a1a6f69bd05b640b24c872cd449dc6a,0.19050877835897517,0.30804913633161374,0.38156366666812147,0.25,,
26,55c52cc6b6fe9d5239a60902fc27862dbc7e930495b2d2938360aea62cf7fc8f,0.21957529165020334,0.2630592884479577,0.16530112680798567,0.25,,
27,e65d6934aa137d0dc64d654f7586d1783bbd91fc1ab8bc25643c2d4071b60777,0.23621251403101864,0.2895461937509187,0.18419748168328617,0.25,,
28,0d00c9213318579b16d3289130e95b3c21287a73649de59dd40930755ce004e6,0.19363098746063642,0.24433595612705597,0.20752151860961757,0.25,,
29,f7e09d487ac9f9ba0c2caaed01edbb118d218894c0760c8542d17d2889e14bfe,0.22084647522576312,0.3757488553123587,0.41224977241201644,0.25,,
30,f0c0ff05e0da1d036f4e8ddc31979a99ddfd15b9ea96efb7f9adfc0428225071,0.17321104641612262,0.263996673225177,0.3438892835275179,0.25,,
31,62ec0fa57d6e1d7c024679957b0c74ecae2d8520d9e5d7729e572a8ceaa8b1ca,0.22495405766811574,0.38360248236146627,0.413575073124415,0.25,,
