candidate_id,category,seed,representation,fidelity,grid_ny,grid_nx,design_hash_64,transferred_design_hash,is_binary,material_fraction,total_variation,worst_peak,average_peak,protected_zone_peak,maximum_normalized_residual,verification_wall_seconds,source_runtime_seconds
random_filtered_seed_9101,random,9101.0,binary,low_64,64,64,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,True,0.25,0.1470734126984127,0.6011141334312313,0.544235612870332,0.5147501523440614,1.2880362134291709e-12,0.0311803000076906,0.0032779000030132
random_filtered_seed_9101,random,9101.0,binary,reference_128,128,128,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,1d776bb9fcd32b2418aae56b7e2e53420a228903249a08ae27754dbfa9f651b8,True,0.25,0.0729576771653543,0.594354056132978,0.5372438678457377,0.5051821509737614,5.312960015249744e-12,0.134419699999853,0.0032779000030132
random_filtered_seed_9101,random,9101.0,binary,reference_256,256,256,2f1356721e17051c58c11cdfd1638307a7251dd5656a9beb2f26bab8ad08c9f2,071fd96b0eef2672017bc45bf7cf9d60a1fa7786fb4908ee4cbcd987b0298b6f,True,0.25,0.0363357843137254,0.5913331056800399,0.5341541641258326,0.5040063642389346,2.2979324754731748e-11,0.6173491999943508,0.0032779000030132
random_filtered_seed_9102,random,9102.0,binary,low_64,64,64,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,True,0.25,0.1731150793650793,0.5524808185533192,0.5083728066831436,0.4467449298575047,1.343445214282268e-12,0.0249508999986574,0.0006005000032018
random_filtered_seed_9102,random,9102.0,binary,reference_128,128,128,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,a86037bff313091d26a53645a991583868c9a3d4faab911399d720f9b9762110,True,0.25,0.0858759842519685,0.5447301865548915,0.5010842639064514,0.4398073701210195,5.314616706475546e-12,0.1172986999881686,0.0006005000032018
random_filtered_seed_9102,random,9102.0,binary,reference_256,256,256,660787503acb6bb82e07527b29282439058c85dc59dbf2feb202033d290e8172,e407435e41d00e112ea2fdad9b6f20e4b447c3904297a8727f0ffd6a699ca170,True,0.25,0.0427696078431372,0.5415047970605279,0.4980476493909115,0.4371163374807311,2.3000886228848627e-11,0.6151564000028884,0.0006005000032018
random_filtered_seed_9103,random,9103.0,binary,low_64,64,64,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,True,0.25,0.1706349206349206,0.5898217383242587,0.5499381539744409,0.4906464449250567,1.4580838543644232e-12,0.0246306000190088,0.0005267999949865
random_filtered_seed_9103,random,9103.0,binary,reference_128,128,128,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,0aa14fab4b5b2c47f5c0b817df074f369be7c00173a0feb12343fec496e981b0,True,0.25,0.0846456692913385,0.5825173532932642,0.5414352770243079,0.4800457758103735,6.039579888829064e-12,0.1180604999972274,0.0005267999949865
random_filtered_seed_9103,random,9103.0,binary,reference_256,256,256,248fe4585c1bac0ec2fd67aaff4e8498debf99c87b647a57a9d009e935d776dc,be7daa49b5107c9c49e7879f78aa2162ad36766bfcefba836396c2a77f06e4e6,True,0.25,0.042156862745098,0.5791671539152953,0.5376074509516142,0.4780556431126986,2.409382300637203e-11,0.6125696999806678,0.0005267999949865
straight_path,straight,,binary,low_64,64,64,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,True,0.25,0.0317460317460317,0.3166910713244851,0.2536910684804184,0.1272668844906984,4.698627835414118e-13,0.0250646999920718,6.249999569263309e-05
straight_path,straight,,binary,reference_128,128,128,57649ac473a6a76edb7273831f2b0574ad161b66d511727e536db316df5c6ce4,3403b3ca556fbe85034f1827ff726f72c62b7c3c5daaef533d46680cf9fbb5a2,True,0.25,0.0157480314960629,0.3169917624167801,0.2538937550808093,0.1272259928570741,2.022756040977248e-12,0.1183670999889727,6.249999569263309e-05
