role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,292,9.755827098601684e-07,True,CONVERGED,float64,cuda:0
forward,1,298,9.961008434944852e-07,True,CONVERGED,float64,cuda:0
forward,2,298,9.893841160187135e-07,True,CONVERGED,float64,cuda:0
adjoint,0,288,9.496590732707308e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.451685569127904e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.223163944397479e-07,True,CONVERGED,float64,cuda:0
forward,0,293,9.463918655606233e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.106521220148947e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.645540027574372e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,8.963065152238153e-07,True,CONVERGED,float64,cuda:0
adjoint,1,285,9.813160443975958e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.02891395625911e-07,True,CONVERGED,float64,cuda:0
forward,0,293,9.916659569130525e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.755404577228538e-07,True,CONVERGED,float64,cuda:0
forward,2,295,9.38407048354245e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.529883240345807e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.084536464833678e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.463915327634144e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.046407339530613e-07,True,CONVERGED,float64,cuda:0
forward,1,299,9.072065926061233e-07,True,CONVERGED,float64,cuda:0
forward,2,299,9.022124741401946e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.721878916448347e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.077734530535124e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.101211762533809e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.349765472821956e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.217369778433298e-07,True,CONVERGED,float64,cuda:0
forward,2,300,9.962737477769893e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.837816856565492e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.211775725556853e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.66245417214545e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.667669221976974e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.825053875744294e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.561433239211962e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.839926235368394e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.258510409634844e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.293978696690507e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.966900981479707e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.828076901288486e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.614831270067474e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.67958785663566e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.326110526714662e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.54504349209937e-07,True,CONVERGED,float64,cuda:0
forward,0,295,9.520907220785227e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.394001787502203e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.257878747949361e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.393145173087654e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.402677996214665e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.613979914619847e-07,True,CONVERGED,float64,cuda:0
forward,0,295,9.66102307935518e-07,True,CONVERGED,float64,cuda:0
forward,1,300,9.67897056748398e-07,True,CONVERGED,float64,cuda:0
forward,2,300,9.561572318414036e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.075916918203088e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.44757835744254e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.529924264280696e-07,True,CONVERGED,float64,cuda:0
forward,0,295,9.663755641597172e-07,True,CONVERGED,float64,cuda:0
forward,1,295,9.994850570340463e-07,True,CONVERGED,float64,cuda:0
forward,2,299,8.880320698516444e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.993927058938874e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.427139145414072e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.337621880825575e-07,True,CONVERGED,float64,cuda:0
forward,0,295,9.528463209009906e-07,True,CONVERGED,float64,cuda:0
forward,1,293,9.720424127006153e-07,True,CONVERGED,float64,cuda:0
forward,2,295,9.409572571984646e-07,True,CONVERGED,float64,cuda:0
adjoint,0,288,9.991476782336348e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.338370412028765e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.831555944550107e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.765737473990201e-07,True,CONVERGED,float64,cuda:0
forward,1,291,9.436992147601837e-07,True,CONVERGED,float64,cuda:0
forward,2,293,9.816967986384175e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,9.773166979955204e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.210967847646732e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.592957326729175e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.346539043761359e-07,True,CONVERGED,float64,cuda:0
