iteration,beta,alpha,binarization_weight,total_objective,thermal_smooth,exact_peak,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,best_exact_peak,maximum_cg_iterations,maximum_explicit_relative_residual,wall_seconds
0,1.0,50.0,0.0,0.6288659175196073,0.6288602300336926,0.7184242403762231,0.0056874859146773815,0.18738090991973877,0.25,0.0,0.009554784744977951,0.7184242403762231,295,9.98089876567046e-07,1.72255170000426
1,1.0,50.0,0.0,0.622847859098557,0.622842034464683,0.7125071011286749,0.005824633873999119,0.187317356467247,0.2499999701976776,0.0,0.009750999510288239,0.7125071011286749,299,9.943507681881096e-07,1.5049247999995714
2,1.0,50.0,0.0,0.6166673053724189,0.616661232954586,0.7065591356760924,0.0060724178329110146,0.18713051080703735,0.25,0.0,0.009920204058289528,0.7065591356760924,303,9.917858767130738e-07,1.495613199993386
3,1.0,50.0,0.0,0.6103497941471074,0.6103433789057096,0.700432667911122,0.006415241397917271,0.18682803213596344,0.25,0.0,0.010065729729831219,0.700432667911122,305,9.885488427933909e-07,1.517583699998795
4,1.0,50.0,0.0,0.6039210475977637,0.603914251225175,0.6941399781982074,0.006796372588723898,0.18641793727874756,0.2499999701976776,0.0,0.01018704567104578,0.6941399781982074,305,9.703463165162597e-07,1.6010122000006959
5,1.0,50.0,0.0,0.5974056420431902,0.597398456614787,0.6877315300576006,0.007185428403317928,0.18590955436229706,0.25,0.0,0.010285820811986923,0.6877315300576006,305,9.966674227945511e-07,1.7269761999923503
6,1.0,50.0,0.0,0.5908254346544286,0.5908178440848728,0.6813735081047522,0.00759056955575943,0.18531182408332825,0.25,0.0,0.01036537904292345,0.6813735081047522,305,9.773404368739539e-07,1.7167638999962946
7,1.0,50.0,0.0,0.584196831711217,0.5841888095127634,0.6751775856547149,0.00802219845354557,0.18463359773159027,0.2499999701976776,0.0,0.01042960211634636,0.6751775856547149,304,9.979911863930646e-07,1.7088112000055844
8,1.0,50.0,0.0,0.5775296652545334,0.5775211910591573,0.6688219575322435,0.008474195376038551,0.18388360738754272,0.25,0.0,0.010482880286872387,0.6688219575322435,304,9.797027810598697e-07,1.6983328999922378
9,1.0,50.0,0.0,0.5708224345847631,0.5708134947411383,0.6623201545762559,0.008939843624830246,0.18306994438171387,0.2500000298023224,0.0,0.010532353073358536,0.6623201545762559,303,9.776564824348918e-07,1.6898053000040818
10,1.0,50.0,0.0,0.5640634507273496,0.5640540249177427,0.6556809611293618,0.009425809606909752,0.18219837546348572,0.25,0.0,0.010583336465060711,0.6556809611293618,303,9.99683623945207e-07,1.6983752999949502
11,1.0,50.0,0.0,0.5572440680782205,0.5572341460059291,0.6489042083072543,0.009922072291374207,0.18127292394638062,0.25,0.0,0.010636219754815102,0.6489042083072543,302,9.830757816101634e-07,1.6829921000025934
12,1.0,50.0,0.0,0.5503589183505038,0.5503485004476616,0.6420045078077368,0.01041790284216404,0.1802978515625,0.25,0.0,0.010691627860069275,0.6420045078077368,301,9.767095577417793e-07,1.6801765999989584
13,1.0,50.0,0.0,0.5433971993505169,0.5433862869824428,0.6350326939163582,0.010912368074059486,0.17927682399749756,0.2499999850988388,0.0,0.01075116079300642,0.6350326939163582,299,9.603920392556942e-07,1.674496999999974
14,1.0,50.0,0.0,0.5363392454890064,0.5363278393225274,0.6279822758754554,0.011406166478991508,0.17821156978607178,0.25,0.0,0.010815688408911228,0.6279822758754554,298,9.636506083617737e-07,1.6878345000004629
15,1.0,50.0,0.0,0.5291613708813804,0.5291494709891397,0.6208390640764595,0.01189989224076271,0.1771005094051361,0.2499999850988388,0.0,0.010883796960115433,0.6208390640764595,295,9.833312078195895e-07,1.6679788999899756
16,1.0,50.0,0.0,0.5218450113990153,0.521832622629478,0.6135857424156445,0.012388769537210464,0.17593969404697418,0.2499999850988388,0.0,0.01095106266438961,0.6135857424156445,294,9.962128991228875e-07,1.68503839999903
17,1.0,50.0,0.0,0.5143866178012859,0.5143737513852712,0.6062039691727487,0.01286641601473093,0.17472490668296814,0.25,0.0,0.01101085264235735,0.6062039691727487,295,9.797540957857268e-07,1.6738839000026928
18,1.0,50.0,0.0,0.5067987665365978,0.5067854364141419,0.5986883679379812,0.013330122455954552,0.173453688621521,0.25,0.0,0.011056152172386646,0.5986883679379812,295,9.967304374886737e-07,1.6704198000079487
19,1.0,50.0,0.0,0.4991052044550354,0.4990914281499038,0.5910491651066503,0.013776305131614208,0.17212572693824768,0.25,0.0,0.011081135831773281,0.5910491651066503,296,9.813801360467234e-07,1.6732544999977108
20,1.0,50.0,0.0,0.49133541332992625,0.4913212074420126,0.5833080354940372,0.014205887913703918,0.17074264585971832,0.2499999701976776,0.0,0.01108191255480051,0.5833080354940372,296,9.919720598323924e-07,1.6848377999995137
21,1.0,50.0,0.0,0.48352087842765634,0.48350625700782424,0.5754933761311024,0.014621419832110405,0.1693071871995926,0.2499999701976776,0.0,0.011056624352931976,0.5754933761311024,295,9.97847953578978e-07,1.6704767000046559
