role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,291,9.499830677565306e-07,True,CONVERGED,float64,cuda:0
adjoint,0,294,9.565741329128396e-07,True,CONVERGED,float64,cuda:0
forward,0,290,9.470867472066687e-07,True,CONVERGED,float64,cuda:0
adjoint,0,293,9.519943107166012e-07,True,CONVERGED,float64,cuda:0
forward,0,289,9.54941970968238e-07,True,CONVERGED,float64,cuda:0
adjoint,0,292,9.541780109763581e-07,True,CONVERGED,float64,cuda:0
forward,0,289,8.910669228096916e-07,True,CONVERGED,float64,cuda:0
adjoint,0,292,9.018356449985668e-07,True,CONVERGED,float64,cuda:0
forward,0,289,8.643068965356878e-07,True,CONVERGED,float64,cuda:0
adjoint,0,291,9.593043517927465e-07,True,CONVERGED,float64,cuda:0
forward,0,289,8.448711083175127e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.849255880191605e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.869911673895554e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,9.788376359014308e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.682752585730419e-07,True,CONVERGED,float64,cuda:0
adjoint,0,282,9.861788548046166e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.511697982365793e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,9.425454625421101e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.428466264656312e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,9.288805751585833e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.351206936314488e-07,True,CONVERGED,float64,cuda:0
adjoint,0,287,9.297763653182734e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.298679218084833e-07,True,CONVERGED,float64,cuda:0
adjoint,0,286,9.834145805400169e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.252459675049027e-07,True,CONVERGED,float64,cuda:0
adjoint,0,282,9.4200186185699e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.184507595619236e-07,True,CONVERGED,float64,cuda:0
adjoint,0,285,9.743507096288463e-07,True,CONVERGED,float64,cuda:0
forward,0,288,9.074977610655655e-07,True,CONVERGED,float64,cuda:0
adjoint,0,285,9.778836473044396e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.927885677485662e-07,True,CONVERGED,float64,cuda:0
adjoint,0,284,9.978371108550255e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.782863107312473e-07,True,CONVERGED,float64,cuda:0
adjoint,0,284,9.840635099086217e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.689003484765393e-07,True,CONVERGED,float64,cuda:0
adjoint,0,284,9.706740690466208e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.63401395483834e-07,True,CONVERGED,float64,cuda:0
adjoint,0,284,9.624974362612744e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.594692289397728e-07,True,CONVERGED,float64,cuda:0
adjoint,0,284,9.62826573350451e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.546848670087236e-07,True,CONVERGED,float64,cuda:0
adjoint,0,284,9.71749405229929e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.468279174855017e-07,True,CONVERGED,float64,cuda:0
adjoint,0,284,9.864639688580973e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.349069842957065e-07,True,CONVERGED,float64,cuda:0
adjoint,0,285,9.937645644494377e-07,True,CONVERGED,float64,cuda:0
forward,0,288,8.191798799823848e-07,True,CONVERGED,float64,cuda:0
adjoint,0,286,9.428997293743673e-07,True,CONVERGED,float64,cuda:0
forward,0,287,9.8859145108244e-07,True,CONVERGED,float64,cuda:0
adjoint,0,286,9.299163482713935e-07,True,CONVERGED,float64,cuda:0
forward,0,287,9.715762143976517e-07,True,CONVERGED,float64,cuda:0
adjoint,0,285,9.987624599755356e-07,True,CONVERGED,float64,cuda:0
forward,0,287,9.562375584945128e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,9.989923333338603e-07,True,CONVERGED,float64,cuda:0
forward,0,287,9.398234920451505e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,9.790026670335206e-07,True,CONVERGED,float64,cuda:0
forward,0,287,9.181107814335986e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,9.657337453543798e-07,True,CONVERGED,float64,cuda:0
forward,0,287,9.012108286193376e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,9.552009240623613e-07,True,CONVERGED,float64,cuda:0
forward,0,286,9.881174602316372e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,9.441337859345128e-07,True,CONVERGED,float64,cuda:0
forward,0,286,9.7260448410553e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,9.298172139910491e-07,True,CONVERGED,float64,cuda:0
forward,0,286,9.563771097701496e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,9.089811082763859e-07,True,CONVERGED,float64,cuda:0
forward,0,285,9.972524222374064e-07,True,CONVERGED,float64,cuda:0
adjoint,0,283,8.790890187147826e-07,True,CONVERGED,float64,cuda:0
forward,0,285,9.76430337379377e-07,True,CONVERGED,float64,cuda:0
adjoint,0,282,9.675622954151312e-07,True,CONVERGED,float64,cuda:0
forward,0,284,9.830771895502397e-07,True,CONVERGED,float64,cuda:0
adjoint,0,282,9.169975606935197e-07,True,CONVERGED,float64,cuda:0
forward,0,283,9.987958956268572e-07,True,CONVERGED,float64,cuda:0
adjoint,0,281,9.5042404563583e-07,True,CONVERGED,float64,cuda:0
forward,0,283,9.631433888433655e-07,True,CONVERGED,float64,cuda:0
adjoint,0,281,8.83549024672682e-07,True,CONVERGED,float64,cuda:0
forward,0,283,9.28140288400186e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,9.414360653890259e-07,True,CONVERGED,float64,cuda:0
forward,0,282,9.87973997134709e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.793288274996755e-07,True,CONVERGED,float64,cuda:0
forward,0,282,9.540676094211598e-07,True,CONVERGED,float64,cuda:0
adjoint,0,280,8.22898453970266e-07,True,CONVERGED,float64,cuda:0
forward,0,282,9.239660802433524e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.647911570338926e-07,True,CONVERGED,float64,cuda:0
forward,0,282,8.983896774600209e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.26086229909473e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.875409662924132e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.914964773219146e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.673801148990724e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.588241752187862e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.489341751154054e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.228262041978128e-07,True,CONVERGED,float64,cuda:0
forward,0,281,9.293172021255992e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.815277937842781e-07,True,CONVERGED,float64,cuda:0
forward,0,280,9.959561451664023e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.149234583283908e-07,True,CONVERGED,float64,cuda:0
forward,0,279,9.933138190672812e-07,True,CONVERGED,float64,cuda:0
adjoint,0,277,9.589910968831485e-07,True,CONVERGED,float64,cuda:0
forward,0,279,9.414716790988694e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,9.938095043346933e-07,True,CONVERGED,float64,cuda:0
forward,0,278,9.421909374533204e-07,True,CONVERGED,float64,cuda:0
adjoint,0,277,9.67903629328417e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.908149208197096e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,8.667581459873735e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.69607241429558e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.013933687015114e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.505069594233531e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.247960807542167e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.030502870467225e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.408642452107922e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.8452989475542e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.511086158155273e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.70539494652086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.585141256203677e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.542486101894862e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.654824504858767e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.261722118458529e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.72564743344338e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.974078773983806e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.799773466259293e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.594006868603428e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.871974656137868e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.253020356998501e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.896708160398974e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.95765037053642e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.609188464005523e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.812393302334067e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.992727141842784e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.74522300535349e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.3707391950412e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.728666313562485e-07,True,CONVERGED,float64,cuda:0
