iteration,beta,alpha,binarization_weight,total_objective,thermal_smooth,exact_peak,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,best_exact_peak,maximum_cg_iterations,maximum_explicit_relative_residual,wall_seconds
0,1.0,50.0,0.0,0.5854766064666477,0.585470918980733,0.6693259464598227,0.0056874859146773815,0.18738090991973877,0.25,0.0,0.01162624079734087,0.6693259464598227,294,9.565741329128396e-07,0.7788350999908289
1,1.0,50.0,0.0,0.5780498014980185,0.5780438261267918,0.6617350654109247,0.005975371226668358,0.1872994303703308,0.25,0.0,0.012257824651896954,0.6617350654109247,293,9.519943107166012e-07,0.5349130000104196
2,1.0,50.0,0.0,0.5701553067885317,0.570148871840348,0.6536195636969545,0.006434948183596134,0.18707117438316345,0.2499999701976776,0.0,0.01288197934627533,0.6536195636969545,292,9.54941970968238e-07,0.5381464999954915
3,1.0,50.0,0.0,0.5618110876279684,0.5618040838018792,0.6451594008556595,0.007003826089203358,0.18670052289962769,0.25,0.0,0.013484928756952286,0.6451594008556595,292,9.018356449985668e-07,0.5411846999923
4,1.0,50.0,0.0,0.55304636937352,0.5530387645468127,0.6364068431090831,0.007604826707392931,0.18619239330291748,0.2499999701976776,0.0,0.0140567347407341,0.6364068431090831,291,9.593043517927465e-07,0.5285250000015367
5,1.0,50.0,0.0,0.5438909716701119,0.543882759495823,0.6272171630221882,0.008212174288928509,0.1855519562959671,0.25,0.0,0.014591275714337826,0.6272171630221882,290,9.849255880191605e-07,0.5231760999886319
6,1.0,50.0,0.0,0.5343763957251116,0.5343675802391276,0.6176208611676055,0.00881548598408699,0.1847853660583496,0.2499999850988388,0.0,0.015083465725183487,0.6176208611676055,288,9.869911673895554e-07,0.5208530999952927
7,1.0,50.0,0.0,0.5245297203387632,0.5245203156198873,0.6076431549086979,0.00940471887588501,0.18389950692653656,0.2499999701976776,0.0,0.015529981814324856,0.6076431549086979,288,9.861788548046166e-07,0.5175837999995565
8,1.0,50.0,0.0,0.51437426237631,0.5143642794923798,0.5973067302357482,0.009982883930206299,0.18290084600448608,0.2499999850988388,0.0,0.015927018597722054,0.5973067302357482,288,9.511697982365793e-07,0.5235898999962956
9,1.0,50.0,0.0,0.503935853198085,0.5039252988676615,0.5866385527070148,0.010554330423474312,0.18179437518119812,0.25,0.0,0.016269207000732422,0.5866385527070148,288,9.428466264656312e-07,0.5123452999978326
10,1.0,50.0,0.0,0.4932495285866334,0.4932384123092069,0.5756762790215981,0.011116277426481247,0.18058384954929352,0.2499999701976776,0.0,0.01655079424381256,0.5756762790215981,288,9.351206936314488e-07,0.5476041000074474
11,1.0,50.0,0.0,0.48235939628983554,0.48234772410875826,0.5644669921133761,0.011672181077301502,0.17927297949790955,0.25,0.0,0.016767820343375206,0.5644669921133761,288,9.834145805400169e-07,0.5393449999974109
12,1.0,50.0,0.0,0.4713134099581258,0.471301194107251,0.553061179940259,0.012215850874781609,0.17786625027656555,0.25,0.0,0.016919029876589775,0.553061179940259,288,9.4200186185699e-07,0.5619589999987511
13,1.0,50.0,0.0,0.460158351957004,0.4601455965984123,0.5415078495873275,0.012755358591675758,0.17636865377426147,0.2499999850988388,0.0,0.017005151137709618,0.5415078495873275,288,9.743507096288463e-07,0.5919485999911558
14,1.0,50.0,0.0,0.44893913425256515,0.44892585244619304,0.5300921727464573,0.013281806372106075,0.1747850626707077,0.25,0.0,0.01702798716723919,0.5300921727464573,288,9.778836473044396e-07,0.581964600001811
15,1.0,50.0,0.0,0.4377006985487383,0.4376869082430344,0.5186327212162296,0.013790305703878403,0.17312023043632507,0.25,0.0,0.016989940777420998,0.5186327212162296,288,9.978371108550255e-07,0.583873700001277
16,1.0,50.0,0.0,0.4264886483104871,0.42647436250857723,0.5071654597913868,0.014285801909863949,0.17137905955314636,0.2499999701976776,0.0,0.016894131898880005,0.5071654597913868,288,9.840635099086217e-07,0.5937269999994896
17,1.0,50.0,0.0,0.4153486025614483,0.4153338363526208,0.4957390712961489,0.014766208827495575,0.16956683993339539,0.25,0.0,0.016744369640946388,0.4957390712961489,288,9.706740690466208e-07,0.6028578999976162
18,1.0,50.0,0.0,0.40432612518133554,0.4043108896548483,0.4844023335702866,0.015235526487231255,0.16768944263458252,0.2499999850988388,0.0,0.016545163467526436,0.4844023335702866,288,9.624974362612744e-07,0.5952178000006825
19,1.0,50.0,0.0,0.3934652869031727,0.39344960268037016,0.47320250497662747,0.0156842228025198,0.16575360298156738,0.2499999701976776,0.0,0.016301633790135384,0.47320250497662747,288,9.62826573350451e-07,0.5928096999996342
20,1.0,50.0,0.0,0.38280700798139694,0.38279089225449386,0.4621834337449807,0.01611572690308094,0.16376681625843048,0.2499999850988388,0.0,0.016019431874155998,0.4621834337449807,288,9.71749405229929e-07,0.5875680999888573
21,1.0,50.0,0.0,0.3723872377494603,0.37237070676817297,0.451383613704571,0.01653098128736019,0.16173724830150604,0.2499999701976776,0.0,0.015704602003097534,0.451383613704571,288,9.864639688580973e-07,0.5970377000048757
22,1.0,50.0,0.0,0.3622348630762134,0.3622179383373294,0.4408340224197728,0.016924738883972168,0.1596733033657074,0.25,0.0,0.015363362617790699,0.4408340224197728,288,9.937645644494377e-07,0.5905148000019835
23,1.0,50.0,0.0,0.3523711704982027,0.35235387179605215,0.4305576416234518,0.017298702150583267,0.15758299827575684,0.2499999701976776,0.0,0.01500185951590538,0.4305576416234518,288,9.428997293743673e-07,0.5936918000079459
24,1.0,50.0,0.0,0.3428094061374808,0.3427917490791673,0.42056915595914063,0.01765705831348896,0.15547356009483337,0.2499999701976776,0.000244140625,0.014625923708081245,0.42056915595914063,287,9.8859145108244e-07,0.5969284000020707
25,1.0,50.0,0.0,0.33355576684712973,0.3335377645456752,0.4108761627403523,0.018002301454544067,0.15335097908973694,0.25,0.015625,0.014240849763154984,0.4108761627403523,287,9.987624599755356e-07,0.591914499993436
26,1.0,50.0,0.0,0.32461161129138294,0.3245932799741519,0.4014816133081423,0.018331317231059074,0.15121981501579285,0.2499999701976776,0.0712890625,0.013851233758032322,0.4014816133081423,287,9.989923333338603e-07,0.5809623000095598
27,1.0,50.0,0.0,0.3159749090307055,0.3159562639266847,0.39238531459115256,0.01864510402083397,0.14908349514007568,0.25,0.15185546875,0.013460857793688774,0.39238531459115256,287,9.790026670335206e-07,0.5846737000101712
28,1.0,50.0,0.0,0.3076428766157193,0.30762393184003367,0.3835865879634658,0.01894477568566799,0.14694470167160034,0.2499999850988388,0.232177734375,0.013072746805846691,0.3835865879634658,287,9.657337453543798e-07,0.580450599998585
29,1.0,50.0,0.0,0.2996126374615539,0.29959340424222836,0.3750847584050458,0.01923321932554245,0.14480584859848022,0.25,0.279296875,0.012689205817878246,0.3750847584050458,287,9.552009240623613e-07,0.5922343999991426
30,1.0,50.0,0.0,0.29188190435658806,0.2918623948175799,0.36687968824997674,0.019509539008140564,0.1426694393157959,0.25,0.296630859375,0.012311999686062336,0.36687968824997674,286,9.881174602316372e-07,0.5943072999943979
31,1.0,50.0,0.0,0.28444881681618334,0.28442904312056544,0.35897146103907623,0.0197736956179142,0.1405383050441742,0.25,0.3037109375,0.011942412704229355,0.35897146103907623,286,9.7260448410553e-07,0.5914228000037838
32,1.0,50.0,0.0,0.27731125302387355,0.2772912271782565,0.3513595741413427,0.020025845617055893,0.13841569423675537,0.2499999850988388,0.305419921875,0.011581438593566418,0.3513595741413427,286,9.563771097701496e-07,0.5863925000012387
33,1.0,50.0,0.0,0.27046672085347345,0.27044645549031665,0.34404280657465325,0.0202653631567955,0.13630515336990356,0.2499999850988388,0.30712890625,0.01122983731329441,0.34404280657465325,285,9.972524222374064e-07,0.5785949999990407
34,1.0,50.0,0.0,0.26391180778518747,0.2638913126610262,0.337018649349697,0.02049512416124344,0.13421042263507843,0.25,0.30908203125,0.010888200253248215,0.337018649349697,285,9.76430337379377e-07,0.5803575000027195
35,1.0,50.0,0.0,0.2576417959065259,0.2576210789301515,0.3302829369875108,0.02071697637438774,0.13213539123535156,0.25,0.309814453125,0.010557031258940697,0.3302829369875108,284,9.830771895502397e-07,0.5763640999939525
36,1.0,50.0,0.0,0.2516506595024745,0.2516297281002532,0.32382989168939014,0.02093140222132206,0.1300838589668274,0.25,0.310302734375,0.010236714035272598,0.32382989168939014,283,9.987958956268572e-07,0.5821575000009034
37,1.0,50.0,0.0,0.24593107047923987,0.24590992708937412,0.3176779166069568,0.021143389865756035,0.12805944681167603,0.2499999701976776,0.310302734375,0.009927581995725632,0.3176779166069568,283,9.631433888433655e-07,0.5796705999964615
38,1.0,50.0,0.0,0.24047422661962414,0.2404528754926702,0.31187131793789574,0.021351126953959465,0.1260654628276825,0.25,0.310546875,0.009629870764911175,0.31187131793789574,283,9.414360653890259e-07,0.589842100001988
39,1.0,50.0,0.0,0.235270367396848,0.23524881373517376,0.30631769329673214,0.021553661674261093,0.12410485744476318,0.2499999850988388,0.310302734375,0.009343740530312061,0.30631769329673214,282,9.87973997134709e-07,0.5845989999943413
40,1.0,50.0,0.0,0.23030866079253345,0.23028691185859232,0.3010059543919324,0.02174893394112587,0.12218012660741806,0.2499999850988388,0.31005859375,0.00906924158334732,0.3010059543919324,282,9.540676094211598e-07,0.5716735000023618
41,1.0,50.0,0.0,0.2255775006123731,0.22555556279876326,0.29592414896334024,0.021937813609838486,0.1202932745218277,0.2499999701976776,0.3095703125,0.008806341327726841,0.29592414896334024,282,9.647911570338926e-07,0.5714077000011457
42,1.0,50.0,0.0,0.22106490991579666,0.2210427887173213,0.2910599081052506,0.02212119847536087,0.11844581365585327,0.2499999850988388,0.3095703125,0.008554919622838497,0.2910599081052506,282,9.26086229909473e-07,0.5702351999934763
43,1.0,50.0,0.0,0.21675847226104827,0.21673617256528827,0.2864003856881538,0.022299695760011673,0.11663870513439178,0.2499999701976776,0.308837890625,0.008314769715070724,0.2864003856881538,281,9.875409662924132e-07,0.5758065999980317
44,1.0,50.0,0.0,0.21264580978303674,0.2126233350433362,0.28193277232697134,0.0224747397005558,0.11487249284982681,0.25,0.308349609375,0.008085603825747967,0.28193277232697134,281,9.673801148990724e-07,0.5773492000007536
45,1.0,50.0,0.0,0.20871471756646973,0.20869207106294674,0.27764445259288467,0.022646503522992134,0.11314721405506134,0.25,0.30712890625,0.007867085747420788,0.27764445259288467,281,9.489341751154054e-07,0.5777456999931019
46,1.0,50.0,0.0,0.20495332683974674,0.20493051158243586,0.2735231762551534,0.02281525731086731,0.11146251112222672,0.25,0.3046875,0.007658780086785555,0.2735231762551534,281,9.815277937842781e-07,0.5796927000046708
47,1.0,50.0,0.0,0.2013501263325288,0.20132714447651048,0.26955708050933763,0.022981856018304825,0.10981771349906921,0.25,0.302734375,0.0074602472595870495,0.26955708050933763,280,9.959561451664023e-07,0.5719341999938479
48,1.0,50.0,0.0,0.1978943037016463,0.19787115791236576,0.26573505777223705,0.02314578928053379,0.10821180045604706,0.25,0.30029296875,0.007270988076925278,0.26573505777223705,279,9.933138190672812e-07,0.5817773000017041
49,1.0,50.0,0.0,0.19457574574026373,0.19455243892158475,0.262046752002066,0.023306818678975105,0.10664359480142593,0.25,0.2998046875,0.0070904879830777645,0.262046752002066,279,9.938095043346933e-07,0.5714226999989478
50,1.0,50.0,0.0,0.19138500943516623,0.19136154424508345,0.2584825259564715,0.023465190082788467,0.10511170327663422,0.25,0.298828125,0.0069182030856609344,0.2584825259564715,278,9.67903629328417e-07,0.5740906999999424
51,1.0,50.0,0.0,0.18831343493016292,0.18828981313632656,0.255033575276398,0.02362179383635521,0.1036146730184555,0.2499999850988388,0.297607421875,0.006753616034984589,0.255033575276398,278,9.908149208197096e-07,0.5825754999968922
52,1.0,50.0,0.0,0.1853531948001211,0.18532941896739355,0.2516919850962899,0.02377583272755146,0.10215094685554504,0.2499999701976776,0.29736328125,0.006596168503165245,0.2516919850962899,278,9.69607241429558e-07,0.5782947999978205
53,1.0,50.0,0.0,0.1824970912449217,0.18247316337750913,0.24845050324137044,0.02392786741256714,0.10071903467178345,0.25,0.296630859375,0.006445335689932108,0.24845050324137044,278,9.505069594233531e-07,0.5768127000046661
54,1.0,50.0,0.0,0.1797388320780592,0.17971475386910607,0.24530283893686292,0.024078208953142166,0.09931740164756775,0.25,0.295654296875,0.006300604902207851,0.24530283893686292,278,9.408642452107922e-07,0.5726424000022234
55,1.0,50.0,0.0,0.17707269359285646,0.17704846632199997,0.24224329655475352,0.024227270856499672,0.09794463962316513,0.2500000298023224,0.295166015625,0.006161468103528023,0.24224329655475352,278,9.8452989475542e-07,0.569169199996395
56,1.0,50.0,0.0,0.17449373540972285,0.17446936040316635,0.2392670149878387,0.024375006556510925,0.09659940004348755,0.2499999701976776,0.29443359375,0.006027467083185911,0.2392670149878387,278,9.70539494652086e-07,0.5721546999993734
57,1.0,50.0,0.0,0.17199743056076638,0.1719729083195614,0.23636955255869194,0.024522241204977036,0.0952804684638977,0.2499999701976776,0.2919921875,0.00589815154671669,0.23636955255869194,278,9.654824504858767e-07,0.5761160999973072
58,1.0,50.0,0.0,0.16957988835151627,0.16955521939347817,0.23354714697344323,0.02466895803809166,0.09398671984672546,0.25,0.289306640625,0.0057731200940907,0.23354714697344323,278,9.72564743344338e-07,0.5748075000010431
59,1.0,50.0,0.0,0.16723773012861395,0.16721291622884357,0.23079658313566986,0.024813899770379066,0.09271715581417084,0.25,0.286376953125,0.005651986226439476,0.23079658313566986,278,9.974078773983806e-07,0.5705258999951184
60,1.0,50.0,0.0,0.164967957669485,0.16494300022310354,0.22811504585718645,0.0249574463814497,0.09147094935178757,0.25,0.28466796875,0.00553441047668457,0.22811504585718645,278,9.871974656137868e-07,0.5697881000087364
61,1.0,50.0,0.0,0.16276795685057507,0.16274285821382867,0.22550013423148793,0.025098636746406555,0.09024733304977417,0.25,0.2841796875,0.005420088302344084,0.22550013423148793,278,9.896708160398974e-07,0.5654805000085616
62,1.0,50.0,0.0,0.16063536956093002,0.16061013200997104,0.22294972544066044,0.02523755095899105,0.0890456959605217,0.25,0.283447265625,0.005308741237968206,0.22294972544066044,278,9.95765037053642e-07,0.5728071000048658
63,1.0,50.0,0.0,0.15856819196582886,0.15854281798728856,0.22046209262417132,0.025373978540301323,0.08786551654338837,0.2499999850988388,0.282958984375,0.005200140178203583,0.22046209262417132,278,9.992727141842784e-07,0.5648515000066254
64,1.0,50.0,0.0,0.15656454187792454,0.1565390342173419,0.21803564604059328,0.02550766058266163,0.08670637756586075,0.25,0.28125,0.0050940909422934055,0.21803564604059328,279,9.74522300535349e-07,0.5684756999980891
65,1.0,50.0,0.0,0.15462281756134735,0.15459717887299168,0.2156691225013177,0.02563868835568428,0.08556794375181198,0.2499999850988388,0.281494140625,0.004990425426512957,0.2156691225013177,279,9.728666313562485e-07,0.581578500001342
66,1.0,50.0,0.0,0.15274147765953175,0.15271571040209464,0.21336133671363966,0.025767257437109947,0.08444994688034058,0.2499999850988388,0.28076171875,0.004889003001153469,0.21336133671363966,279,9.748732691973996e-07,0.5737825999967754
67,1.0,50.0,0.0,0.15091908417631628,0.15089319084574224,0.2111112339308623,0.025893330574035645,0.08335217088460922,0.2499999850988388,0.281005859375,0.004789719823747873,0.2111112339308623,279,9.768423132418133e-07,0.5732470000075409
68,1.0,50.0,0.0,0.14915435311614691,0.14912833661257446,0.2089179512781771,0.02601650357246399,0.08227448165416718,0.25,0.281005859375,0.004692500922828913,0.2089179512781771,279,9.764513622921635e-07,0.5668178999912925
69,1.0,50.0,0.0,0.14744601948996003,0.14741988275264317,0.2067806616495993,0.026136737316846848,0.0812167376279831,0.2499999850988388,0.27978515625,0.004597286228090525,0.2067806616495993,279,9.72289180455586e-07,0.568101700002444
70,1.0,50.0,0.0,0.14579275295131494,0.14576649913371195,0.20469847182928966,0.026253817602992058,0.08017884194850922,0.25,0.27685546875,0.004504031036049128,0.20469847182928966,279,9.632806816070864e-07,0.5618579000001773
