role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,292,9.755827098601684e-07,True,CONVERGED,float64,cuda:0
forward,1,298,9.961008434944852e-07,True,CONVERGED,float64,cuda:0
forward,2,298,9.893841160187135e-07,True,CONVERGED,float64,cuda:0
adjoint,0,288,9.496590732707308e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.451685569127904e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.223163944397479e-07,True,CONVERGED,float64,cuda:0
forward,0,293,9.463918655606233e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.106521220148947e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.645540027574372e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,8.963065152238153e-07,True,CONVERGED,float64,cuda:0
adjoint,1,285,9.813160443975958e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.02891395625911e-07,True,CONVERGED,float64,cuda:0
forward,0,293,9.916659479916166e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.75540469348445e-07,True,CONVERGED,float64,cuda:0
forward,2,295,9.384070653008668e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.529883452344335e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.08453646146845e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.463914435859973e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.046407039658142e-07,True,CONVERGED,float64,cuda:0
forward,1,299,9.072066359589207e-07,True,CONVERGED,float64,cuda:0
forward,2,299,9.022124833329139e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.721878852548635e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.077734137526429e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.101211669182284e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.349765465089482e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.217369863388098e-07,True,CONVERGED,float64,cuda:0
forward,2,300,9.96273720896999e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.837816394338598e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.211775294085406e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.662454138003562e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.667669534436694e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.825053951929608e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.561433091419364e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.83992773727386e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.258509856625955e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.293979026829144e-07,True,CONVERGED,float64,cuda:0
forward,0,294,9.96690082004423e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.82807685355459e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.614830508057803e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.679587979129791e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.326110630296165e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.545042862046237e-07,True,CONVERGED,float64,cuda:0
forward,0,295,9.520907143595223e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.394001818687883e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.257878254441354e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.393146661860234e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.402677725365603e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.613979929334305e-07,True,CONVERGED,float64,cuda:0
forward,0,295,9.661023531983227e-07,True,CONVERGED,float64,cuda:0
forward,1,300,9.678969106112909e-07,True,CONVERGED,float64,cuda:0
forward,2,300,9.561571435642598e-07,True,CONVERGED,float64,cuda:0
adjoint,0,290,9.0759143215799e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.447577894817511e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.529923854326297e-07,True,CONVERGED,float64,cuda:0
forward,0,295,9.663755529240636e-07,True,CONVERGED,float64,cuda:0
forward,1,295,9.994847401346692e-07,True,CONVERGED,float64,cuda:0
forward,2,299,8.880318698298687e-07,True,CONVERGED,float64,cuda:0
adjoint,0,289,9.99387998090961e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.427138615946504e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.3376207690325e-07,True,CONVERGED,float64,cuda:0
