iteration,beta,alpha,binarization_weight,total_objective,thermal_smooth,exact_peak,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,best_exact_peak,maximum_cg_iterations,maximum_explicit_relative_residual,wall_seconds
0,1.0,50.0,0.0,0.6297764195737814,0.6297703320429114,0.7185536170427336,0.006087530869990587,0.1873520016670227,0.25,0.0,0.009786090813577175,0.7185536170427336,298,9.961008434944852e-07,2.827314900001511
1,1.0,50.0,0.0,0.6236287190280867,0.6236224626302731,0.7126044383198404,0.0062563978135585785,0.1872972548007965,0.2499999850988388,0.0,0.009991739876568317,0.7126044383198404,294,9.813160443975958e-07,2.335108700004639
2,1.0,50.0,0.0,0.6173127568948626,0.6173062066088975,0.7065507759539018,0.006550285965204239,0.1871190071105957,0.2499999701976776,0.0,0.01018025167286396,0.7065507759539018,295,9.916659479916166e-07,2.3813920999964466
3,1.0,50.0,0.0,0.6108530623237357,0.6108461617654876,0.7002857265730138,0.00690055824816227,0.1868244856595993,0.25,0.0,0.010340907610952854,0.7002857265730138,299,9.721878852548635e-07,2.5031426999921678
4,1.0,50.0,0.0,0.6042857010980072,0.6042784128460037,0.6938983977555225,0.007288252003490925,0.1864224076271057,0.2499999701976776,0.0,0.010468910448253155,0.6938983977555225,302,9.96273720896999e-07,2.482195100004901
5,1.0,50.0,0.0,0.5976444968403971,0.5976368085387816,0.6874915969893414,0.007688301615417004,0.18592192232608795,0.2499999850988388,0.0,0.01056510116904974,0.6874915969893414,302,9.83992773727386e-07,2.5457443999912357
6,1.0,50.0,0.0,0.5909600510313641,0.5909519619024823,0.681007188544104,0.008089128881692886,0.18533256649971008,0.25,0.0,0.010631997138261795,0.681007188544104,302,9.96690082004423e-07,2.4929027000034694
7,1.0,50.0,0.0,0.5842603442832315,0.584251852873289,0.6746250014447337,0.008491409942507744,0.18466396629810333,0.2499999850988388,0.0,0.010672229342162609,0.6746250014447337,302,9.613979929334305e-07,2.484609699997236
8,1.0,50.0,0.0,0.5775721908425356,0.5775632971608455,0.6682205636638642,0.008893681690096855,0.18392586708068848,0.25,0.0,0.01068801712244749,0.6682205636638642,300,9.678969106112909e-07,2.4775764999940293
9,1.0,50.0,0.0,0.5709216686771904,0.5709123690524791,0.6617657147219772,0.0092996247112751,0.18312838673591614,0.25,0.0,0.01068266574293375,0.6617657147219772,299,9.994847401346692e-07,2.500375099989469
