method,candidate_id,operation,material_fraction,worst_peak_256,component_count,relative_degradation,design_hash_64
tree,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,unperturbed,0.25,0.1650978093408512,1,0.0,7627450603bad742a45c6952b83c0df370a0a16ccd9a0b979f5747857a488ec6
tree,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,erosion,0.2001953125,0.24239050360970985,1,0.46816305181424134,bc2648630f135e544b2e58663e3fa1f398580e20cd2821f0dbf06121d2d2295f
tree,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,dilation,0.29736328125,0.1389818496977141,1,-0.1581847739070821,255c4d89f58ce9339385b8049ec3e5b4b7de747d8de1fb09c84920cc47d17d12
waveforge,robust_20260828,unperturbed,0.2509765625,0.156506824943584,1,0.0,f37d26b6f37ecf0a1e8831d1a8ec583d22c852a33bbeccd99a9c7052e38d0a99
waveforge,robust_20260828,erosion,0.20654296875,0.2296880890101181,1,0.46759151936609633,19bfcd3b8622cf3b11f04f9363887001727684353e5f96cee8a7eaf6f6051dbe
waveforge,robust_20260828,dilation,0.293212890625,0.13327780361557146,1,-0.14842177864374867,4e439c48be5c0af35e89088b4c1c9b28617a4f1e3eae52eb6afaf7a9a9d30931
waveforge,robust_20260829,unperturbed,0.2509765625,0.1574716324313547,1,0.0,934d30af2703bd5357fbccaa7ae73c7f864bf016860b291a62fec01d06459387
waveforge,robust_20260829,erosion,0.2060546875,0.23046337947563098,1,0.4635231496447143,8e4e4e9b90107b2827f58a3b58446b216d662602cfb23c52a163cba7f715ddbf
waveforge,robust_20260829,dilation,0.293701171875,0.13523923621001221,1,-0.14118350002521293,89f56d335cb4cf0b34fd94c0987a46bfb0ae23d5705b7ebf039866a79c5922fe
waveforge,robust_20260830,unperturbed,0.251220703125,0.15663546358885735,1,0.0,acedf86e13b27f0476e96abd9fdb41e0559eeee92171e6cc653610115510d915
waveforge,robust_20260830,erosion,0.207275390625,0.23061470919368074,1,0.4723020183922517,451c870c3aa7da09e3975f4751b724296818035072bf58cd8b481c37113b8c18
waveforge,robust_20260830,dilation,0.293212890625,0.133568745193123,1,-0.14726370304160963,8ad3a209dfd2640860e857ed1d0c0dbc69b5fb71d610aca4ef80e02dcce09f0d
