rank,candidate_id,x_sink,x_junction,y_junction,trunk_to_branch_width_ratio,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,worst_peak,average_peak,maximum_residual,wall_seconds
1,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.5,0.5,0.475,1.25,128,7627450603bad742a45c6952b83c0df370a0a16ccd9a0b979f5747857a488ec6,75903359be44fed8b4522b1b60b860167b5bfc97846bd38317df1126e48a5a25,0.25,0.14048347189820887,0.16564591476372964,0.16564591476371932,0.16564591476372964,0.15725843380855262,2.0882626544162564e-12,0.08066849999886472
2,tree_xs_0p475_xj_0p500_yj_0p475_r_1p25,0.475,0.5,0.475,1.25,128,ff20a481dd519dc58cf536f2824d24284e046bdd871bf3f4d7b340686aa6bce3,bdaee186a0ac83a56d8113ad038f05d9e0d4b1b899fa78ba40c078f15863cd4b,0.25,0.14138635908766636,0.1663762606468234,0.1666507274751029,0.1666507274751029,0.15813778240319756,2.0815897716790432e-12,0.07768810000561643
3,tree_xs_0p525_xj_0p500_yj_0p475_r_1p25,0.525,0.5,0.475,1.25,128,24550c97ed526a9b4673a1f576b9a0f772cc99f3545666d4b7e7a2446911775b,972fc57437f8cc675448868d92aa21a6a3ac85eb92eac8b52a079ba51e0ed6a0,0.25,0.14138635908767022,0.16665072747511567,0.1663762606468153,0.16665072747511567,0.1581377824032004,2.154434881295567e-12,0.07850970000436064
4,tree_xs_0p500_xj_0p500_yj_0p550_r_1p50,0.5,0.5,0.55,1.5,128,9197536188e30e6e61267d0626e10a6c37ea8385b318aa4eb9fba7f1e59324c9,970e2342ba3dbc75aef79fac83a609ff6fb16ec4d44cdf289eb8d8f0f1499e96,0.25,0.13401094800580945,0.1666868098166538,0.16668680981664577,0.1666868098166538,0.155794855879703,1.8449035933713094e-12,0.07819149999704678
5,tree_xs_0p500_xj_0p500_yj_0p500_r_1p25,0.5,0.5,0.5,1.25,128,5735a5c7d0c1accfb499a8e70effd8cc387f01d6f41988ed62cd1203265cdbf4,50a6227bceca4001e936cc939e6afcf791af853f8a97fbacc584e9eee1124ad1,0.25,0.13833794251810855,0.16669602451642257,0.1666960245164157,0.16669602451642257,0.15724333051698228,2.101183424484156e-12,0.07775510000647046
6,tree_xs_0p500_xj_0p500_yj_0p525_r_1p50,0.5,0.5,0.525,1.5,128,1fee58278d9f8f3b683a8ea4ad9060b4f13b8b1fe32d9d2c39be522132535c57,3f77fa1f2f45a1b80954401413e1b0f872fc2fffdf94ce00a1a94b21e044bc9a,0.25,0.13598030069895392,0.1667140630578404,0.166714063057831,0.1667140630578404,0.15646947560487512,1.8678471671513343e-12,0.07543679999071173
7,tree_xs_0p500_xj_0p500_yj_0p575_r_1p50,0.5,0.5,0.575,1.5,128,b7ae22ca1690fd791bcfa36ca22bf3494210e0aa882a8280492198affc2e437d,0adf7810ae0e47777ef4a75dbd46ab499b473e6fea11974da5867cefe931a5c7,0.25,0.133747474297127,0.16676830620678404,0.1667683062067794,0.16676830620678404,0.15576136223689682,1.80884412765181e-12,0.07847700000274926
8,tree_xs_0p500_xj_0p500_yj_0p525_r_1p25,0.5,0.5,0.525,1.25,128,6f6f1726b8f237b31a5b00a56f50f456200a694701057a836b9fbeec6c4f2153,536fc7beb7f4bc4cb01effdf49319ad33a0e430e747f57dac2e82d27bcf71c68,0.25,0.1388328200638211,0.16681504722919357,0.16681504722918816,0.16681504722919357,0.1574876381740676,2.136422308682842e-12,0.0789842999947723
9,tree_xs_0p500_xj_0p500_yj_0p550_r_1p25,0.5,0.5,0.55,1.25,128,96b6025d4698327eca46c7f910f9a9b5d2e716cf9e4db455187fef7d6f50ed4f,f61c49d725500e01952504d7edf108af9cc4f1c541d9e1f711636951abc6f0a8,0.25,0.13921626993913372,0.1669778391442005,0.16697783914419448,0.1669778391442005,0.15772398274250957,2.143159535892444e-12,0.07486870000138879
10,tree_xs_0p500_xj_0p500_yj_0p625_r_1p50,0.5,0.5,0.625,1.5,128,85b07fc3620a79f32aa00a400ee7dd7f8e30fed21654017805918ecb32ec3528,29cedd8d36d09960360c0fa76b0e752e4eb4b668e568c95ce5d66b0c02412026,0.25,0.1332392770239707,0.16724339277249056,0.16724339277248457,0.16724339277249056,0.15590868752298195,1.936722701264954e-12,0.07989969999471214
