rank,candidate_id,x_sink,x_junction,y_junction,trunk_to_branch_width_ratio,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_A_peak,scenario_B_peak,scenario_C_peak,worst_peak,average_peak,maximum_residual,wall_seconds
1,tree_xs_0p500_xj_0p500_yj_0p475_r_1p25,0.5,0.5,0.475,1.25,64,7627450603bad742a45c6952b83c0df370a0a16ccd9a0b979f5747857a488ec6,7627450603bad742a45c6952b83c0df370a0a16ccd9a0b979f5747857a488ec6,0.25,0.14161251246208692,0.16739553609045346,0.1673955360904535,0.1673955360904535,0.15880119488099795,5.021162305188358e-13,0.022433500009356067
2,tree_xs_0p500_xj_0p500_yj_0p575_r_1p50,0.5,0.5,0.575,1.5,64,b7ae22ca1690fd791bcfa36ca22bf3494210e0aa882a8280492198affc2e437d,b7ae22ca1690fd791bcfa36ca22bf3494210e0aa882a8280492198affc2e437d,0.25,0.13466612210736628,0.16831958214312503,0.16831958214312476,0.16831958214312503,0.15710176213120536,4.547791720359765e-13,0.021231100006843917
3,tree_xs_0p500_xj_0p500_yj_0p550_r_1p50,0.5,0.5,0.55,1.5,64,9197536188e30e6e61267d0626e10a6c37ea8385b318aa4eb9fba7f1e59324c9,9197536188e30e6e61267d0626e10a6c37ea8385b318aa4eb9fba7f1e59324c9,0.25,0.13498046005808706,0.16834961757373978,0.16834961757373942,0.16834961757373978,0.1572265650685221,4.816164343187243e-13,0.020929599995724857
4,tree_xs_0p500_xj_0p500_yj_0p500_r_1p25,0.5,0.5,0.5,1.25,64,5735a5c7d0c1accfb499a8e70effd8cc387f01d6f41988ed62cd1203265cdbf4,5735a5c7d0c1accfb499a8e70effd8cc387f01d6f41988ed62cd1203265cdbf4,0.25,0.13911063284747108,0.16844319399276442,0.16844319399276578,0.16844319399276578,0.1586656736110004,5.043894381137484e-13,0.021472199994605035
5,tree_xs_0p500_xj_0p500_yj_0p525_r_1p50,0.5,0.5,0.525,1.5,64,1fee58278d9f8f3b683a8ea4ad9060b4f13b8b1fe32d9d2c39be522132535c57,1fee58278d9f8f3b683a8ea4ad9060b4f13b8b1fe32d9d2c39be522132535c57,0.25,0.1369253503592206,0.16845714067217876,0.16845714067217915,0.16845714067217915,0.15794654390119284,4.618626115699533e-13,0.02278909999586176
6,tree_xs_0p500_xj_0p500_yj_0p525_r_1p25,0.5,0.5,0.525,1.25,64,6f6f1726b8f237b31a5b00a56f50f456200a694701057a836b9fbeec6c4f2153,6f6f1726b8f237b31a5b00a56f50f456200a694701057a836b9fbeec6c4f2153,0.25,0.13951493431360917,0.1684586488330998,0.16845864883309997,0.16845864883309997,0.15881074399326964,5.482574767690775e-13,0.0279350000055274
7,tree_xs_0p500_xj_0p500_yj_0p550_r_1p25,0.5,0.5,0.55,1.25,64,96b6025d4698327eca46c7f910f9a9b5d2e716cf9e4db455187fef7d6f50ed4f,96b6025d4698327eca46c7f910f9a9b5d2e716cf9e4db455187fef7d6f50ed4f,0.25,0.13980410854743477,0.1685014894386903,0.1685014894386914,0.1685014894386914,0.15893569580827216,5.5703968869228e-13,0.021396899988758378
8,tree_xs_0p525_xj_0p500_yj_0p475_r_1p25,0.525,0.5,0.475,1.25,64,24550c97ed526a9b4673a1f576b9a0f772cc99f3545666d4b7e7a2446911775b,24550c97ed526a9b4673a1f576b9a0f772cc99f3545666d4b7e7a2446911775b,0.25,0.14264411570475324,0.16852617448371257,0.16824796471448356,0.16852617448371257,0.15980608496764978,5.277463576270381e-13,0.02248279999184888
9,tree_xs_0p475_xj_0p500_yj_0p475_r_1p25,0.475,0.5,0.475,1.25,64,ff20a481dd519dc58cf536f2824d24284e046bdd871bf3f4d7b340686aa6bce3,ff20a481dd519dc58cf536f2824d24284e046bdd871bf3f4d7b340686aa6bce3,0.25,0.14264411570475366,0.16824796471448325,0.1685261744837134,0.1685261744837134,0.1598060849676501,5.244767836064008e-13,0.023251900012837723
10,tree_xs_0p500_xj_0p500_yj_0p625_r_1p50,0.5,0.5,0.625,1.5,64,85b07fc3620a79f32aa00a400ee7dd7f8e30fed21654017805918ecb32ec3528,85b07fc3620a79f32aa00a400ee7dd7f8e30fed21654017805918ecb32ec3528,0.25,0.13399578720158772,0.16865226006561757,0.1686522600656175,0.16865226006561757,0.15710010244427428,5.237660300929598e-13,0.021945999993477017
