iteration,beta,alpha,binarization_weight,total_objective,exact_peak,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,maximum_cg_iterations,maximum_residual,wall_seconds
0,1.0,50.0,0.0,0.6016532065553687,0.6914467917787476,0.2499999701976776,0.0,0.010291295126080513,295,9.70269429522582e-07,2.394557399995392
1,1.0,50.0,0.0,0.5948761090913965,0.6850188340302298,0.2500000298023224,0.0,0.010562608018517494,295,9.955600104232973e-07,2.3804693999991287
2,1.0,50.0,0.0,0.5878977351414021,0.6783165191254983,0.25,0.0,0.010804416611790657,295,9.766650668159602e-07,2.43677210000169
3,1.0,50.0,0.0,0.5807416270561,0.6713582433279112,0.25,0.0,0.011018707416951656,295,9.880575681281283e-07,2.3993734999967273
4,1.0,50.0,0.0,0.5734320370302628,0.6641772087644489,0.2499999850988388,0.0,0.011205608025193214,294,9.599663693013313e-07,2.3921840000111843
5,1.0,50.0,0.0,0.5659929407441756,0.6567976390686704,0.25,0.0,0.011363934725522995,294,9.91180197564492e-07,2.383868999997503
6,1.0,50.0,0.0,0.5584536626221791,0.6494344186589456,0.25,0.0,0.011492421850562096,295,9.467591956831577e-07,2.38817070001096
7,1.0,50.0,0.0,0.5508431486306208,0.6419461606761586,0.2499999850988388,0.0,0.011592869646847248,299,9.945725649620107e-07,2.4747598999965703
8,1.0,50.0,0.0,0.5431845152849455,0.6343525320416415,0.25,0.0,0.011668968945741653,303,9.808269148123774e-07,2.3889821999910055
9,1.0,50.0,0.0,0.5354965387192457,0.6266839581370292,0.2499999850988388,0.0,0.01172390766441822,303,9.95262169803071e-07,2.42549880000297
10,1.0,50.0,0.0,0.5277944920325645,0.6189794363919322,0.25,0.0,0.011760649271309376,303,9.892731374611655e-07,2.3657320000056643
11,1.0,50.0,0.0,0.520088407023155,0.6112734121396359,0.2499999701976776,0.0,0.01178250927478075,303,9.68694490902931e-07,2.400934799996321
12,1.0,50.0,0.0,0.5123809620912022,0.6035885680074311,0.2499999701976776,0.0,0.011792691424489021,303,9.955948856101746e-07,2.389269199993578
13,1.0,50.0,0.0,0.5046684454829448,0.5959332226360128,0.2499999850988388,0.0,0.011793939396739006,303,9.718865401242282e-07,2.397217899997486
14,1.0,50.0,0.0,0.4969420334333548,0.5882995334725973,0.25,0.0,0.011788696050643921,302,9.951434175027431e-07,2.381465800004662
15,1.0,50.0,0.0,0.4891902889925861,0.5806663921964207,0.2499999701976776,0.0,0.01177931111305952,300,9.962357851372138e-07,2.3962124999961816
16,1.0,50.0,0.0,0.4814010003343042,0.5730054497533259,0.2499999701976776,0.0,0.011767974123358727,299,9.911699873324202e-07,2.3738316999952076
17,1.0,50.0,0.0,0.4735630846360917,0.565287733929879,0.2499999850988388,0.0,0.011756469495594501,298,9.788251955049228e-07,2.3781656000064686
18,1.0,50.0,0.0,0.46566772331416906,0.557547460612473,0.2499999850988388,0.0,0.01174577884376049,298,9.750519957796934e-07,2.3723807000060333
19,1.0,50.0,0.0,0.45770918182203374,0.5497474611999605,0.2499999701976776,0.0,0.011735629290342331,297,9.91289414443311e-07,2.399021299992455
20,1.0,50.0,0.0,0.44968545177352187,0.5418296358286662,0.25,0.0,0.011724235489964485,296,9.890558578998188e-07,2.3665938999911305
21,1.0,50.0,0.0,0.4415983703722602,0.5337848224997637,0.2499999701976776,0.0,0.011708365753293037,295,9.455304667369769e-07,2.3500463999953354
22,1.0,50.0,0.0,0.4334530844673659,0.5256106274060013,0.2499999701976776,0.0,0.011683600023388863,294,9.888190526066412e-07,2.37836969998898
