task_index,task_id,family,resolution,design_hash_64,transferred_design_hash,material_fraction,scenario_peaks,worst_peak,maximum_normalized_residual,wall_seconds,validation_accessed,test_id_accessed,test_ood_accessed
0,8b3bfefc7f914f920a892edfb68771b9e81be78889f3dfc68dbfcc50b7d6a117,REFERENCE,256,9c90e4b455cf6f2d0cfbd696640ef73c1b2483678c478873fd5e9ed47e012bce,89f0aaf9a6fb62a49249a1a6be426bd677aecc35166677ba480f40fe0114824f,0.25,"(0.16868660137021887, 0.10687440876184191, 0.17010847588033307)",0.17010847588033307,8.312848947632827e-12,1.1211699999985285,True,False,False
0,8b3bfefc7f914f920a892edfb68771b9e81be78889f3dfc68dbfcc50b7d6a117,FIELD_UNET_BEST4_R25,256,02f6e8eb4b8820a9165c203da389d19850e22e29be0717b56addfc41407217fb,57903257f5633c18bc539ac10747e0f2e7ad7b2133e64e2de8830c20068a0106,0.25,"(0.15674637353718504, 0.1434544257924254, 0.15491389214206602)",0.15674637353718504,7.650317584549481e-12,1.116686600027606,True,False,False
0,8b3bfefc7f914f920a892edfb68771b9e81be78889f3dfc68dbfcc50b7d6a117,SENS_UNET_BEST4_R25,256,ae8798c735b4a08f47335437fc3f68fecc02deb0948d7950420dc7ad6e26a4ee,1f36ae1b391e330f585fa8cf9beaf0bb0ab423bb5d00c70a3bceceadbf601a95,0.25,"(0.16188579497706299, 0.10279022007557878, 0.1607466085114847)",0.16188579497706299,7.557579114769697e-12,1.095017799991183,True,False,False
1,85b8bba89f2470f302978c6c6db1ffc24f52fb4d224ca06284391ae31fb59a85,REFERENCE,256,64656181670567167991aa515843314d287b465c5d5487facdc6900006901bd5,0e70ae47b95b1e99115e68c69543c0fd53f5e04a602c3ffe346ab17e50835490,0.25,"(0.16644821434947762, 0.16637934611122904, 0.16587896954079445)",0.16644821434947762,7.506164364915909e-12,1.092481100000441,True,False,False
1,85b8bba89f2470f302978c6c6db1ffc24f52fb4d224ca06284391ae31fb59a85,FIELD_UNET_BEST4_R25,256,49974671a61cf16cfefdfdc4a40af71be2203dda64ccc54bce74bc6552a7bfef,0fa4f09811d24986f1d9f73cdbfe35ae75345e4a80236024eca0d0c42b67eb06,0.25,"(0.15344991350181647, 0.1541754340362398, 0.15278506757082141)",0.1541754340362398,7.29970545798868e-12,1.098239199956879,True,False,False
1,85b8bba89f2470f302978c6c6db1ffc24f52fb4d224ca06284391ae31fb59a85,SENS_UNET_BEST4_R25,256,947c73980ea1d6438ef56901f2df9f6627c7915248ab87b34241d4aac9af3e68,b97e414e46d65ca79f224e1aa5cd565305785dae2d274ce3bf4b9609e7b651ed,0.25,"(0.15833694984185814, 0.15753223077670606, 0.1575033341128623)",0.15833694984185814,7.504524538984973e-12,1.136041700025089,True,False,False
2,2e9132acd0f83a92366f8dcf5a18e0bd2918f2c1f4a93b91c721141429f2d1c0,REFERENCE,256,d1ee5056d3e86b61de166236a12acdc5edad1c8818992f7fb652f88b3259dc43,7e65e478a5ca989d1fbc13268f1902d3583016acf6cb68cd073a4ff6a5c39394,0.25,"(0.14849740112842683, 0.14993549374199291, 0.150051915316541)",0.150051915316541,7.623893015115215e-12,1.0979181000147946,True,False,False
2,2e9132acd0f83a92366f8dcf5a18e0bd2918f2c1f4a93b91c721141429f2d1c0,FIELD_UNET_BEST4_R25,256,e965d15e4711d60b3b8422f637361c0e8efa4fc50adf43f7152127d5f7c72caa,361f668c4a0285db55944caf43b0c4460c70011aa51389ede1fe60eefb454dab,0.25,"(0.14654996750293642, 0.14628643563877272, 0.14390284407079706)",0.14654996750293642,7.654276683007971e-12,1.0920980000519194,True,False,False
2,2e9132acd0f83a92366f8dcf5a18e0bd2918f2c1f4a93b91c721141429f2d1c0,SENS_UNET_BEST4_R25,256,387880afe5ce2e6e93f2b0eaa992cd70c5a148dd4be27c3222c1b13d4da969af,22de143ec7f412b4670432b586aab1260c6121206dd1a29aefd0131bc7efc86c,0.25,"(0.14617389572795078, 0.14559564135980252, 0.14792730906746626)",0.14792730906746626,7.389918585021431e-12,1.097054100013338,True,False,False
3,32ef2ab494b8629eb36881798fcdb2e85199a388b2e87060792f5a44ef9ac591,REFERENCE,256,c9fa6a287094ba18f5a673f3fbd815d608ce902c78c815d3521f06bbb7269572,bca6cfbef1be699edecb653b2d1fabd284f2f19dd2cc8abf90f755194a74f02c,0.25,"(0.15081818460653454, 0.15013789710124054, 0.15004960814167237)",0.15081818460653454,7.637283263935925e-12,1.0912368000135757,True,False,False
3,32ef2ab494b8629eb36881798fcdb2e85199a388b2e87060792f5a44ef9ac591,FIELD_UNET_BEST4_R25,256,64c3bdaf6e335b1de120e755230ae2915dd78568a869e231c81ab79cbcb4ad4e,97f88b43301ceb19a47c434080eb0b8179ce6b6b13956f90397ce8e2b8eecaa3,0.25,"(0.14319269092533768, 0.14392213659387468, 0.14296383157140446)",0.14392213659387468,7.53868983974625e-12,1.097271799982991,True,False,False
3,32ef2ab494b8629eb36881798fcdb2e85199a388b2e87060792f5a44ef9ac591,SENS_UNET_BEST4_R25,256,0e279b5d2c81d30d4c9eb6c75f5b164b072fe7444f6db51ef87dc434e00997ed,0b4b843fd77c4a5594302fe8a70f5b0bcbf60e7367364f37a55436469cbf533b,0.25,"(0.1437479024149835, 0.14435304184595413, 0.14339631366993988)",0.14435304184595413,7.546745936231011e-12,1.0792223999742419,True,False,False
4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,REFERENCE,256,8a9a30e6926c0e3dc821bcad1024d3bf2875f27ed415464487db320d694124a5,d5b6485eb4dd3a6d47b0022bf72edd0aff0f8f49e89913d1247401af454318e1,0.25,"(0.16560704358327116, 0.1674661664304298, 0.1702247210104285)",0.1702247210104285,8.186950894269536e-12,1.0844645000179298,True,False,False
4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,FIELD_UNET_BEST4_R25,256,9630df03150ace6b3a24f4059b4d44320fd30cc98ac4bfe4d117ba978366238d,563034704682d1292eb8a0c71752a6cf1c3fd320ca8ddf5cc56f12803d045963,0.25,"(0.12456553804452457, 0.15816845536836444, 0.15757501349407832)",0.15816845536836444,7.735807865503042e-12,1.0851111999945715,True,False,False
4,0f050ab14547e6e284f6566d25e74c57ea62d046ded41ebaf4e801533115cc35,SENS_UNET_BEST4_R25,256,aba163b8b737906f438809125ecd629d8cfc47ced0be027f6ad9899a9a1cf947,cdcc712505bddc2f5fdccba3df2ee3e7c9620b046b74378e3ae01ae93fbd8568,0.25,"(0.13710258977778111, 0.15915480876151877, 0.15961600823304256)",0.15961600823304256,7.792052210397967e-12,1.0832159999990836,True,False,False
5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,REFERENCE,256,358d370aae3817d0f86bc2e043a36486525ac97704036dcbcde32b07ddbfd650,592486fb0717c7631e398bf08a79d59c9486756b732897e9d92419973021e9d5,0.25,"(0.1286532660551323, 0.12845871783127916, 0.12874959917793188)",0.12874959917793188,5.7757272569469856e-12,1.0899185999878682,True,False,False
5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,FIELD_UNET_BEST4_R25,256,9234b034fd03090d05a52689df153a77942304ac92ea12a4125aa01232a52c33,6240a9dcfb20376be60e4134f31a6abd3cf0f48e64a67a678872b2cb4c768ec4,0.25,"(0.11644261356792093, 0.11667032952390571, 0.11773513057551836)",0.11773513057551836,5.578006603595585e-12,1.081031300011091,True,False,False
5,f0f63c6a8bd3208f35b547bf28e88af7f3ecfffceb100ccc304505f42b3c32ff,SENS_UNET_BEST4_R25,256,6b2c9016fb48985e6bce7bf5b1a80caeb943999c85b84365640c3fe9f04b9d77,da9f1b9a79a8699d7e4632988ffe3e5ee2cd49b6d5e6b1adccd9770d6a2f41d1,0.25,"(0.12000324035115505, 0.11850429596557834, 0.12092223034274266)",0.12092223034274266,5.571290535781899e-12,1.1044178000302054,True,False,False
6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,REFERENCE,256,9f1f730491e2e2faf4ab40731e7a86a8e8242398f01d30402e8bc968c3722807,6027be4aa2ed3a699748d9f22fdc2e29598b3894db4039e837db0e410a1ff82e,0.25,"(0.1256737006823567, 0.12822545632964463, 0.12524649237134572)",0.12822545632964463,6.401822378516668e-12,1.0862538000219502,True,False,False
6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,FIELD_UNET_BEST4_R25,256,0333cae7d4d28fa7c9e66211de6484a2915e34f54e357656f13ed897c3d9ff61,1b7c73e12bbffa421b21efbebe68ead496c93a0954316a3302d52759a59f0dcc,0.25,"(0.126606003280103, 0.12811738317378665, 0.12884671189174907)",0.12884671189174907,6.449096731373247e-12,1.0932244000141509,True,False,False
6,ca65d9ce246df633c8807cb3d4d344809e2a59719834f085852b2881fc57062d,SENS_UNET_BEST4_R25,256,02de8e79173a1b79fd2cc0b90ae0981e50977b2525edf2155285317f59ad1776,61665126182b28cfa8f745b9e39f8541fc1de86eded58fd468a674aa7fa067e4,0.25,"(0.12660515215396667, 0.12816743846849304, 0.12596162924294654)",0.12816743846849304,6.4322984543505115e-12,1.0796721000224352,True,False,False
7,050dd427b5bf0bf9dcef75ec4864547280b28aa793a5611a5ab2956002d9fff8,REFERENCE,256,df3a5c3a4659d32891305ec746513b273992144c2be8ab93505aa0f2e0fcd408,20b54bfdcff581fac25e7e9c83d6f7111e799a7be9bfc506dbd9927b0b09bc54,0.25,"(0.1552205828280694, 0.154899831597303, 0.15232133488746386)",0.1552205828280694,7.584839044566674e-12,1.092651700018905,True,False,False
