update,learning_rate,mean_loss,mean_candidate_thermal_smooth,best_candidate_thermal_smooth,worst_candidate_exact_tmax,mean_total_variation,mean_binarization_penalty,softmin,diversity_penalty,maximum_projection_absolute_error,gradient_norm_before_clipping,gradient_norm_after_clipping,wall_seconds
0,0.0001,0.672253297381737,0.6731910223768918,0.6644884126977338,0.7977186705258849,0.016399048268795013,0.17924198508262634,0.671007494442144,0.0012294038897380233,2.9802322387695312e-08,1.643938038699406,0.9999994257645424,2.0262047722935677
1,0.0001,0.6076157410478116,0.6575584294031902,0.5928882213906802,0.8229529358591469,0.017316533252596855,0.17432929575443268,0.606717432183177,0.0008809923310764134,2.9802322387695312e-08,4.1455393207114035,0.9999997712312517,1.4192771688103676
2,0.0001,0.5793907181363407,0.6470610849887968,0.5647630224859606,0.7641349451556537,0.017675813287496567,0.17299912869930267,0.5786180972831003,0.0007549450383521616,2.9802322387695312e-08,2.444429811222512,0.9999996166707856,1.4102651486173272
3,0.0001,0.5607953276892752,0.6679764464898379,0.5462330416706808,0.8820654904344611,0.01756191998720169,0.17146341502666473,0.5600957613904123,0.0006820043781772256,2.9802322387695312e-08,1.402737055864114,0.999999350672192,1.4065844099968672
4,0.0001,0.5094960777598859,0.6259842768610936,0.4949968605957432,0.7825584051058724,0.017344705760478973,0.16955281794071198,0.5088592903278001,0.0006194427260197699,2.9802322387695312e-08,1.4688038397630265,0.999999329876432,1.3931933045387268
5,0.0001,0.5362381899536279,0.646020296408657,0.5217429337618829,0.8653247584773933,0.01811853051185608,0.16955873370170593,0.5356056259402697,0.0006144454819150269,2.9802322387695312e-08,1.0358981243503385,0.999999100889469,1.3952701203525066
6,0.0001,0.5100500856096708,0.6659891674228795,0.49556087036716684,0.8763139310195527,0.018107283860445023,0.17057093977928162,0.5094238018082045,0.0006081765168346465,2.9802322387695312e-08,3.437215526566458,0.9999996736814194,1.404403424821794
7,0.0001,0.42965873016476036,0.6144514111866223,0.4152069938966192,0.8200267403559545,0.018656926229596138,0.16869696974754333,0.4290699373483447,0.0005701358895748854,2.9802322387695312e-08,1.5196898810611648,0.9999993183258495,1.403675184585154
8,0.0001,0.4670679773299775,0.6603357579682626,0.4525954538777389,0.877210009756229,0.019294988363981247,0.16839435696601868,0.4664583974027914,0.0005902849370613694,2.9802322387695312e-08,1.505485793262788,0.999999310471976,1.4032838894054294
9,0.0001,0.4332120306813596,0.5950861569293622,0.4187676367959574,0.8050344420113744,0.01956464722752571,0.16700920462608337,0.4326305797991228,0.0005618862342089415,2.9802322387695312e-08,1.4476581829653887,0.9999993181936542,1.4167099390178919
10,0.0001,0.40590135225045076,0.5951039805474175,0.3914771112192388,0.8059502944852821,0.020629767328500748,0.16546109318733215,0.40534005480310287,0.0005406676791608334,2.9802322387695312e-08,1.687084203241288,0.9999994737770844,1.4062737440690398
11,0.0001,0.42910576877107637,0.6011111895003898,0.4147040351248577,0.8166393001148259,0.021561475470662117,0.16562627255916595,0.4285669786182171,0.0005172286764718592,2.9802322387695312e-08,1.251727879868807,0.9999992951100746,1.380314003676176
12,0.0001,0.41929489570295136,0.627664589768139,0.40491588921904076,0.8262139791097513,0.021868713200092316,0.1643286645412445,0.41877883282952116,0.0004941941588185728,4.470348358154297e-08,1.5496334073740734,0.9999993592905874,1.4163450244814157
13,0.0001,0.36055651071464545,0.5788063396082477,0.3462273553464859,0.8064812515804112,0.02114771492779255,0.1633124053478241,0.36009029895748845,0.0004450640408322215,2.9802322387695312e-08,3.964948104539815,0.9999997629564079,1.3605922032147646
14,0.0001,0.31851042846545785,0.616328378122984,0.3041883907717151,0.8283958298603404,0.024077730253338814,0.16064676642417908,0.3180513343829141,0.0004350163508206606,4.470348358154297e-08,1.502167079290514,0.999999367827291,1.3474867837503552
15,0.0001,0.3884982535836085,0.5931967327637584,0.37418749170139975,0.7840628595814728,0.025548461824655533,0.15942630171775818,0.38805043522902144,0.0004222698917146772,2.9802322387695312e-08,2.6008353795110475,0.9999996471080976,1.3657545605674386
16,0.0001,0.3698192506257748,0.5982972893819825,0.355516231630656,0.7651314838337588,0.026725757867097855,0.15880462527275085,0.36937917524159836,0.00041334962588734925,2.9802322387695312e-08,3.6770393537761135,0.9999996966312258,1.3759936820715666
17,0.0001,0.32143872419518094,0.5522767540193778,0.30715121255013433,0.7333603164150703,0.02736535668373108,0.15684068202972412,0.321014156161331,0.0003972026752308011,2.9802322387695312e-08,3.2060591182909803,0.9999997129838422,1.5597727848216891
18,0.0001,0.2926871577457434,0.5492461335066355,0.2783991373020762,0.7908154669469453,0.028180880472064018,0.15547320246696472,0.29226208091327244,0.0003968959499616176,2.9802322387695312e-08,2.7659034233618804,0.9999996151809205,2.071008298546076
19,0.0001,0.30969889302954257,0.5859811520849503,0.295408055269601,0.8297144464330689,0.02611512690782547,0.15356743335723877,0.3092709988807998,0.0004017790197394788,2.9802322387695312e-08,1.3691880608823783,0.9999993367160881,1.9145755460485816
20,0.0001,0.310125905226506,0.5768478794948334,0.29584353004373554,0.7727499541163635,0.027641072869300842,0.1543290764093399,0.3097064736549338,0.00039179049781523645,2.9802322387695312e-08,1.2955751393895534,0.9999992337685213,1.7128608981147408
