iteration,total_objective,thermal_smooth,exact_continuous_tmax,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,projection_absolute_error,material_logit_mean,material_logit_std,material_logit_minimum,material_logit_maximum,material_std,hidden_state_rms,delta_state_rms,maximum_absolute_delta,maximum_absolute_state,gradient_norm_before_clipping,gradient_norm_after_clipping,conv3x3_weight_gradient_norm,conv1x1_weight_gradient_norm,all_parameter_gradients_finite,maximum_cg_iterations,maximum_explicit_relative_residual,all_cg_converged,finite,wall_seconds
0,0.6644396611045551,0.6644396611045551,0.717857933544868,0.0,0.1874999701976776,0.24999994039535522,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08073564626974915,0.08073564626974915,0.0,0.08073564618825912,True,294,9.880164372320056e-07,True,True,2.8690300000016578
1,0.6638860138808177,0.6638857720606557,0.7170852101933521,0.0002418201620457694,0.18749487400054932,0.2499999850988388,0.0,1.4901161193847656e-08,0.0036374819464981556,0.006242815870791674,-0.0001368286757497117,0.022049514576792717,0.0022657427471131086,0.0,2.8223603294463828e-05,0.00034539398620836437,0.022049514576792717,0.08890966596113327,0.08890966596113327,0.002136608585715294,0.08888379484415054,True,294,9.96725241747447e-07,True,True,2.334204300015699
2,0.6631741913289934,0.6631736626233378,0.7161014012824919,0.0005287056555971503,0.18747562170028687,0.25,0.0,0.0,0.0011518604587763548,0.01349921990185976,-0.005898071452975273,0.04099888354539871,0.004938366357237101,0.007609824649989605,0.00012671314470935613,0.000652227783575654,0.04099888354539871,0.10441713585368735,0.10441713585368735,0.004787082318216562,0.10430644452571869,True,295,9.69096385979551e-07,True,True,2.3914669000077993
3,0.6622170550884933,0.6622161682220197,0.7148398912600489,0.0008868664735928178,0.18743231892585754,0.25,0.0,0.0,-0.0009199663763865829,0.022275414317846298,-0.010683231055736542,0.06491156667470932,0.008226086385548115,0.016695693135261536,0.00026723823975771666,0.0010686056921258569,0.06491156667470932,0.1257388802273388,0.1257388802273388,0.008232809603214264,0.12546661496162415,True,302,9.98813403545856e-07,True,True,2.493437700002687
4,0.6608933654229088,0.6608920190092806,0.7131478200210807,0.0013464136281982064,0.18734681606292725,0.25,0.0,0.0,-0.0021999352611601353,0.033137015998363495,-0.015834083780646324,0.09588988125324249,0.012376692146062851,0.02679603546857834,0.0004260274872649461,0.0016629260499030352,0.09588988125324249,0.1550726738060597,0.1550726738060597,0.012909743003547192,0.15452879667282104,True,304,9.931068474127056e-07,True,True,2.5502154999994673
5,0.6590070209919214,0.6590050726719638,0.7107835690100993,0.0019483199575915933,0.18718424439430237,0.2499999701976776,0.0,2.9802322387695312e-08,-0.0022100787609815598,0.04692216217517853,-0.021642467007040977,0.13697580993175507,0.017768913879990578,0.038513291627168655,0.000612547155469656,0.0025450156535953283,0.13697580993175507,0.19603573813244687,0.19603573813244687,0.019498834386467934,0.19505180418491364,True,305,9.738599055280514e-07,True,True,2.5236839999852236
6,0.6562447476925231,0.656241989468494,0.7074661516883742,0.002758224029093981,0.1868758201599121,0.2499999701976776,0.0,2.9802322387695312e-08,-0.00032351131085306406,0.06486750394105911,-0.027360495179891586,0.19260796904563904,0.024983292445540428,0.05289093777537346,0.0008451187168247998,0.0038887045811861753,0.19260796904563904,0.2534624793863359,0.2534624793863359,0.028998659923672676,0.25177380442619324,True,305,9.586849666195816e-07,True,True,2.5669505999831017
7,0.6521183131088112,0.6521144338210654,0.7024385296318294,0.0038792877458035946,0.18627972900867462,0.25,0.0,0.0,0.004469146486371756,0.08884745836257935,-0.03280055150389671,0.2695951759815216,0.034932639449834824,0.07161799818277359,0.0011548849288374186,0.005988124292343855,0.2695951759815216,0.332304888308895,0.332304888308895,0.04266705363988876,0.32950490713119507,True,304,9.829734976698214e-07,True,True,2.5602852000156417
8,0.6459307031679403,0.645925227217513,0.6947597820773679,0.005475950427353382,0.18509110808372498,0.2499999850988388,0.0,1.4901161193847656e-08,0.01368107832968235,0.12179280817508698,-0.037742555141448975,0.37858065962791443,0.04908033460378647,0.0973883867263794,0.001593993278220296,0.009346605278551579,0.37858065962791443,0.43257146983358025,0.43257146983358025,0.061312831938266754,0.4281066954135895,True,303,9.97865799651148e-07,True,True,2.5587878999940585
9,0.6369068381387639,0.6368990288029324,0.6834485593410293,0.007809335831552744,0.18262726068496704,0.2499999701976776,0.0,2.9802322387695312e-08,0.029636811465024948,0.16853544116020203,-0.04200657457113266,0.5369406938552856,0.06980492174625397,0.13436159491539001,0.0022484962828457355,0.014851361513137817,0.5369406938552856,0.5343220657436917,0.5343220657436917,0.08270294964313507,0.5277059078216553,True,301,9.647552204354718e-07,True,True,2.5601519999909215
