role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,225,9.880164372320056e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.83771419594861e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.837714263042086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,223,9.281028003397344e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.80867917343275e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.808679096927099e-07,True,CONVERGED,float64,cuda:0
forward,0,250,9.81001354845589e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.095872357340154e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.095922485443214e-07,True,CONVERGED,float64,cuda:0
adjoint,0,251,9.294076927645649e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.947335400334727e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.948652541393758e-07,True,CONVERGED,float64,cuda:0
forward,0,254,9.39473926551592e-07,True,CONVERGED,float64,cuda:0
forward,1,295,9.053692131762159e-07,True,CONVERGED,float64,cuda:0
forward,2,295,9.047147782271391e-07,True,CONVERGED,float64,cuda:0
adjoint,0,252,9.022364968914173e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.435607308995337e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.439253370547235e-07,True,CONVERGED,float64,cuda:0
forward,0,257,9.524414373759766e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.235675733338178e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.223044373410412e-07,True,CONVERGED,float64,cuda:0
adjoint,0,254,9.525130345388118e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.250128799851377e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.255082891134648e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.998574550854585e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.795422886156487e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.791951947560718e-07,True,CONVERGED,float64,cuda:0
adjoint,0,256,9.861635018616835e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.378700356048904e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.3794243776212e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.640343826618722e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.41827433789013e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.417688114441638e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,9.100877800605381e-07,True,CONVERGED,float64,cuda:0
adjoint,1,294,9.913696230908525e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.926703024259797e-07,True,CONVERGED,float64,cuda:0
forward,0,276,8.994643428249232e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.20443594889374e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.203917223238293e-07,True,CONVERGED,float64,cuda:0
adjoint,0,272,9.214756866092235e-07,True,CONVERGED,float64,cuda:0
adjoint,1,296,9.362562453735141e-07,True,CONVERGED,float64,cuda:0
adjoint,2,296,9.425074513158173e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.096739634861408e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.670942521289997e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.663459670119003e-07,True,CONVERGED,float64,cuda:0
adjoint,0,273,9.681089081097204e-07,True,CONVERGED,float64,cuda:0
adjoint,1,294,9.433949514431127e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.713611078982744e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.1510197034576e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.573124786458968e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.541776698293548e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,9.994085993185514e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.300205304892102e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.774715539329778e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.502397407580728e-07,True,CONVERGED,float64,cuda:0
forward,1,301,9.716238126334732e-07,True,CONVERGED,float64,cuda:0
forward,2,301,9.705800181940938e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,8.446409558752194e-07,True,CONVERGED,float64,cuda:0
adjoint,1,297,9.695137646508615e-07,True,CONVERGED,float64,cuda:0
adjoint,2,297,9.683122759178602e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.227471954010985e-07,True,CONVERGED,float64,cuda:0
forward,1,293,9.621244764320219e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.240340957074229e-07,True,CONVERGED,float64,cuda:0
adjoint,0,273,9.500285948782345e-07,True,CONVERGED,float64,cuda:0
adjoint,1,288,9.855949887173913e-07,True,CONVERGED,float64,cuda:0
adjoint,2,288,9.724947653142327e-07,True,CONVERGED,float64,cuda:0
