role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,225,9.880164372320056e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.83771419594861e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.837714263042086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,223,9.281028003397344e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.80867917343275e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.808679096927099e-07,True,CONVERGED,float64,cuda:0
forward,0,250,9.918394940137288e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.119997342310701e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.12077438799339e-07,True,CONVERGED,float64,cuda:0
adjoint,0,251,9.262206000856781e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.977585883174825e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.976587976176225e-07,True,CONVERGED,float64,cuda:0
forward,0,254,9.000296692426794e-07,True,CONVERGED,float64,cuda:0
forward,1,295,9.681154900252369e-07,True,CONVERGED,float64,cuda:0
forward,2,295,9.69094805664675e-07,True,CONVERGED,float64,cuda:0
adjoint,0,252,8.818417380506449e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.562834119869972e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.559384322542781e-07,True,CONVERGED,float64,cuda:0
forward,0,256,9.219123753899796e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.158687361233054e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.167466447509762e-07,True,CONVERGED,float64,cuda:0
adjoint,0,253,9.879911654380007e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.523160182023205e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.519349637612732e-07,True,CONVERGED,float64,cuda:0
forward,0,269,9.948522777660843e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.17011418239051e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.172566831662253e-07,True,CONVERGED,float64,cuda:0
adjoint,0,255,9.70528434483642e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.750717543157813e-07,True,CONVERGED,float64,cuda:0
adjoint,2,293,9.745808027305134e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.587080947439952e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.388135244377326e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.387409746783004e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,9.074812035210951e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.601070301774979e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.576970137917302e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.137080753629503e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.034062827291548e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.034422013536481e-07,True,CONVERGED,float64,cuda:0
adjoint,0,272,9.737216973802065e-07,True,CONVERGED,float64,cuda:0
adjoint,1,296,9.413843244756352e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.991093957196637e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.608575983133623e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.371875547720364e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.383535600911731e-07,True,CONVERGED,float64,cuda:0
adjoint,0,276,9.709952272734608e-07,True,CONVERGED,float64,cuda:0
adjoint,1,293,9.249513724306912e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.87040204097917e-07,True,CONVERGED,float64,cuda:0
forward,0,277,9.557202678984647e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.104477714513852e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.143811639489116e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.394700775877075e-07,True,CONVERGED,float64,cuda:0
adjoint,1,294,9.705797511357893e-07,True,CONVERGED,float64,cuda:0
adjoint,2,296,9.371352363001405e-07,True,CONVERGED,float64,cuda:0
forward,0,278,8.935825846615923e-07,True,CONVERGED,float64,cuda:0
forward,1,300,9.434007204709391e-07,True,CONVERGED,float64,cuda:0
forward,2,300,9.514297064353368e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.039731650530565e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.687882016611963e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.872606075219417e-07,True,CONVERGED,float64,cuda:0
forward,0,278,9.824297918079359e-07,True,CONVERGED,float64,cuda:0
forward,1,298,9.448991109158032e-07,True,CONVERGED,float64,cuda:0
forward,2,298,9.261043798547013e-07,True,CONVERGED,float64,cuda:0
adjoint,0,279,9.8672779534202e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.556131662557719e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.14338722067046e-07,True,CONVERGED,float64,cuda:0
