protocol_id,seed,completed_updates,worst_peak,binary_fraction,connectivity
A,20260901,500,0.18536701863769292,0.248779296875,"{""component_count"":1,""conductive_cell_count"":1019,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1019,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":134,""B"":89,""C"":89}}"
A,20260901,550,0.18489826362395503,0.25048828125,"{""component_count"":1,""conductive_cell_count"":1026,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1026,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":136,""B"":89,""C"":90}}"
A,20260901,600,0.18478681166306885,0.25,"{""component_count"":1,""conductive_cell_count"":1024,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1024,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":134,""B"":89,""C"":89}}"
A,20260901,650,0.18529184761533915,0.24951171875,"{""component_count"":1,""conductive_cell_count"":1022,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1022,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":134,""B"":89,""C"":89}}"
A,20260901,700,0.18491122235351848,0.249267578125,"{""component_count"":1,""conductive_cell_count"":1021,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1021,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":132,""B"":88,""C"":88}}"
A,20260902,500,0.19307361567237247,0.25,"{""component_count"":3,""conductive_cell_count"":1024,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1024,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":86,""B"":87,""C"":103}}"
A,20260902,550,0.19212765305956087,0.25048828125,"{""component_count"":3,""conductive_cell_count"":1026,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1026,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":87,""B"":88,""C"":104}}"
A,20260902,600,0.19188116600904923,0.25048828125,"{""component_count"":3,""conductive_cell_count"":1026,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1026,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":87,""B"":88,""C"":104}}"
A,20260902,650,0.19188116600904923,0.25048828125,"{""component_count"":3,""conductive_cell_count"":1026,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1026,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":87,""B"":88,""C"":104}}"
A,20260902,700,0.19189909051767085,0.250244140625,"{""component_count"":3,""conductive_cell_count"":1025,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1025,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":87,""B"":87,""C"":104}}"
A,20260903,500,0.19034671744004075,0.25,"{""component_count"":3,""conductive_cell_count"":1024,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1024,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":93,""B"":103,""C"":91}}"
A,20260903,550,0.2015260894849491,0.250244140625,"{""component_count"":3,""conductive_cell_count"":1025,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1025,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":66,""B"":80,""C"":76}}"
A,20260903,600,0.18976838926502354,0.248291015625,"{""component_count"":3,""conductive_cell_count"":1017,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1017,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":88,""B"":95,""C"":95}}"
A,20260903,650,0.1894503260161796,0.24951171875,"{""component_count"":3,""conductive_cell_count"":1022,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1022,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":88,""B"":99,""C"":95}}"
A,20260903,700,0.18908149111379713,0.250244140625,"{""component_count"":3,""conductive_cell_count"":1025,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1025,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":89,""B"":101,""C"":95}}"
B,20260901,500,0.18682525897588628,0.25048828125,"{""component_count"":1,""conductive_cell_count"":1026,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1026,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":127,""B"":86,""C"":84}}"
B,20260901,550,0.18648930722265722,0.249755859375,"{""component_count"":1,""conductive_cell_count"":1023,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1023,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":129,""B"":87,""C"":85}}"
B,20260901,600,0.18676421903124324,0.249267578125,"{""component_count"":1,""conductive_cell_count"":1021,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1021,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":129,""B"":87,""C"":85}}"
B,20260901,650,0.18676421903124324,0.249267578125,"{""component_count"":1,""conductive_cell_count"":1021,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1021,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":129,""B"":87,""C"":85}}"
B,20260901,700,0.18676421903124324,0.249267578125,"{""component_count"":1,""conductive_cell_count"":1021,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1021,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":129,""B"":87,""C"":85}}"
B,20260902,500,0.1977885686448941,0.248779296875,"{""component_count"":3,""conductive_cell_count"":1019,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1019,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":96,""B"":93,""C"":97}}"
B,20260902,550,0.1961148709077703,0.250244140625,"{""component_count"":3,""conductive_cell_count"":1025,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1025,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":94,""B"":94,""C"":100}}"
B,20260902,600,0.19581225792014256,0.25,"{""component_count"":3,""conductive_cell_count"":1024,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1024,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":93,""B"":93,""C"":100}}"
B,20260902,650,0.19609023424725372,0.249755859375,"{""component_count"":3,""conductive_cell_count"":1023,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1023,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":93,""B"":93,""C"":100}}"
B,20260902,700,0.1958028177549635,0.25,"{""component_count"":3,""conductive_cell_count"":1024,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1024,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":93,""B"":93,""C"":99}}"
B,20260903,500,0.1953643102137201,0.248291015625,"{""component_count"":3,""conductive_cell_count"":1017,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1017,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":94,""B"":100,""C"":94}}"
B,20260903,550,0.19305831073657007,0.250244140625,"{""component_count"":3,""conductive_cell_count"":1025,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1025,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":94,""B"":101,""C"":96}}"
B,20260903,600,0.1924132287081313,0.25048828125,"{""component_count"":3,""conductive_cell_count"":1026,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1026,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":94,""B"":100,""C"":96}}"
B,20260903,650,0.19167741486885095,0.249755859375,"{""component_count"":3,""conductive_cell_count"":1023,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1023,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":94,""B"":97,""C"":94}}"
B,20260903,700,0.19148851111912174,0.250244140625,"{""component_count"":3,""conductive_cell_count"":1025,""sink_component_source_intersections"":{""A"":true,""B"":true,""C"":true},""sink_connected_cell_count"":1025,""sink_connected_fraction"":1.0,""source_intersection_cell_counts"":{""A"":93,""B"":97,""C"":94}}"
