iteration,beta,alpha,binarization_weight,total_objective,thermal_smooth,exact_peak,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,gradient_norm_before_clipping,best_exact_peak,maximum_cg_iterations,maximum_explicit_relative_residual,wall_seconds
0,1.0,50.0,0.0,0.7226592801483068,0.7226541311200428,0.8265104999116014,0.005149028263986111,0.18739476799964905,0.25,0.0,0.015120051801204681,0.8265104999116014,306,9.719859321643966e-07,2.2393725533038378
1,1.0,50.0,0.0,0.7125468670604859,0.7125414464082677,0.8164261047844709,0.0054206522181630135,0.18730390071868896,0.25,0.0,0.01626536436378956,0.8164261047844709,305,9.968954749366705e-07,1.646420480683446
2,1.0,50.0,0.0,0.7014096695052113,0.7014038500168945,0.8053966758882511,0.005819488316774368,0.18705475330352783,0.25,0.0,0.017368698492646217,0.8053966758882511,305,9.950911221132047e-07,1.6946997717022896
3,1.0,50.0,0.0,0.6893104678678759,0.6893041872724391,0.7933722753757506,0.006280595436692238,0.18664664030075073,0.25,0.0,0.01840677671134472,0.7933722753757506,304,9.993857011513021e-07,1.6065855119377375
4,1.0,50.0,0.0,0.6763199146995367,0.6763131700553977,0.7804075575592405,0.00674464413896203,0.1860801875591278,0.25,0.0,0.019359542056918144,0.7804075575592405,302,9.844660242196412e-07,1.619425879791379
5,1.0,50.0,0.0,0.6625125460219842,0.66250534935438,0.7666150410976027,0.007196667604148388,0.18535688519477844,0.2499999850988388,0.0,0.020212041214108467,0.7666150410976027,302,9.983255651923575e-07,1.5743449609726667
6,1.0,50.0,0.0,0.6479713285699831,0.647963693219644,0.7520302498360346,0.007635350339114666,0.1844775676727295,0.2499999850988388,0.0,0.020948372781276703,0.7520302498360346,304,9.68131854834309e-07,1.6362586580216885
7,1.0,50.0,0.0,0.6327945985362117,0.632786532776076,0.7367523151847711,0.008065760135650635,0.1834433376789093,0.2499999701976776,0.0,0.02155224047601223,0.7367523151847711,304,9.946112523915714e-07,1.6579999458044767
8,1.0,50.0,0.0,0.6170947448741724,0.61708626240027,0.7208941083920914,0.008482473902404308,0.18225699663162231,0.25,0.0,0.02200903184711933,0.7208941083920914,305,9.7522905379093e-07,1.7363713514059782
9,1.0,50.0,0.0,0.6009967463112984,0.6009878624904518,0.7045719823690243,0.008883820846676826,0.18092326819896698,0.2499999850988388,0.0,0.022303150966763496,0.7045719823690243,305,9.959454696043308e-07,1.68301972001791
