iteration,total_objective,exact_peak,gradient_norm_before_clipping,maximum_relative_residual,wall_seconds
0,0.7115952144283813,0.8146080749509703,0.015464376658201218,9.818416026249943e-07,0.8718795031309128
1,0.7014914178947331,0.8044592235071828,0.01658661663532257,9.822232583572838e-07,0.837968748062849
2,0.6904059998170381,0.7932923560986809,0.017657862976193428,9.906022765841566e-07,0.8504731804132462
3,0.6783950533156375,0.78114935596283,0.01865215413272381,9.854598951877517e-07,0.8766965735703707
4,0.6655352020019414,0.7680897758559905,0.019527493044734,9.76181343023697e-07,0.8514736779034138
5,0.6519365684163683,0.7541926970644816,0.020226551219820976,9.994697396284154e-07,0.8753759264945984
6,0.6377531026264014,0.7395467746566277,0.0206691175699234,9.938966403007871e-07,0.864196116104722
7,0.6232056575155631,0.7242445602700601,0.020736107602715492,9.993463931920282e-07,0.8801216427236795
8,0.6086155579268847,0.708605524397748,0.020270349457859993,9.956901787392944e-07,0.8660151958465576
9,0.5944245891609719,0.6925535393696565,0.019134560599923134,9.87066115726075e-07,0.8419233877211809
10,0.5811538419209857,0.6762306162289669,0.017363809049129486,9.868142043863994e-07,0.8590598292648792
11,0.5692505446256623,0.6616267807462541,0.015323234722018242,9.889970138728436e-07,0.8508508037775755
12,0.5588766380202487,0.6571156501822395,0.013584013096988201,9.950551011347838e-07,0.858811154961586
13,0.5498366694480284,0.6520544931118684,0.012491783127188683,9.94810972840226e-07,0.836534833535552
14,0.5417380944582815,0.6465267632762206,0.011977591551840305,9.997296114135438e-07,0.8564342595636845
15,0.5342078689080165,0.6406246115637334,0.011799661442637444,9.872990475309678e-07,0.8749635629355907
16,0.526989128806171,0.6344362605111827,0.011769339442253113,9.845582602534541e-07,0.8754235971719027
17,0.5199352288124567,0.628038435638807,0.011787216179072857,9.987312410754107e-07,0.8442771714180708
18,0.5129733899556256,0.6215117425049317,0.01180961076170206,9.887716565199533e-07,0.8358531668782234
19,0.5060735115901229,0.6150065679760836,0.011819970794022083,9.79281403009043e-07,0.8385020531713963
20,0.49922808475489383,0.6084488869249864,0.011813954450190067,9.940817170514238e-07,0.8486410472542048
21,0.49244035542341985,0.6018728785041391,0.011792603880167007,9.974349322550917e-07,0.8458409514278173
22,0.48571801725150504,0.5953058920658892,0.011759225279092789,9.955876840641823e-07,0.8869783971458673
23,0.47906971460622505,0.5887693388165399,0.011717862449586391,9.835197516218441e-07,0.8882779274135828
24,0.4725031789181713,0.5822793740673988,0.011672524735331535,9.828731602327411e-07,0.8404489867389202
