update,stage_id,learning_rate,task_exposures,mean_total_objective,mean_thermal_smooth,mean_exact_tmax,maximum_projection_absolute_error,maximum_material_fraction_error,gradient_norm_before_clipping,gradient_norm_after_clipping,all_gradients_finite,wall_seconds
0,1,0.001,4,0.7735353463086724,0.7735353463086724,0.8318405506341026,5.960464477539063e-08,5.960464477539063e-08,0.12510839049247297,0.12510839049247297,True,3.3880667313933372
1,1,0.001,4,0.6996381798431079,0.6996378474034477,0.7597796543150062,4.470348358154297e-08,4.470348358154297e-08,0.15086850809773908,0.15086850809773908,True,3.3891998026520014
2,1,0.001,4,0.6996965849698554,0.699695905275201,0.7595936024366338,2.9802322387695312e-08,2.9802322387695312e-08,0.14310201293741798,0.14310201293741798,True,3.3904171530157328
3,1,0.001,4,0.7152959249794166,0.7152948494930842,0.774465304944593,2.9802322387695312e-08,2.9802322387695312e-08,0.20268855002191805,0.20268855002191805,True,3.361977705731988
4,1,0.001,4,0.6898455626405083,0.6898439677930327,0.7482128485873423,0.0,0.0,0.1996159174805292,0.1996159174805292,True,3.421675082296133
5,1,0.001,4,0.6765180262163721,0.67651575704077,0.7346353514770426,1.4901161193847656e-08,1.4901161193847656e-08,0.19651286334452225,0.19651286334452225,True,3.4718232918530703
6,1,0.001,4,0.701981563696478,0.7019785542626199,0.7591537063446384,2.9802322387695312e-08,2.9802322387695312e-08,0.4211776405081014,0.4211776405081014,True,3.4018389768898487
7,1,0.001,4,0.7248310929157684,0.7248268563975959,0.780972755854767,1.4901161193847656e-08,1.4901161193847656e-08,0.5763632575452758,0.5763632575452758,True,3.416526611894369
8,1,0.001,4,0.7031390685149286,0.7031334984713516,0.7581291769411695,2.9802322387695312e-08,2.9802322387695312e-08,0.5453246726683207,0.5453246726683207,True,3.455744732171297
9,1,0.001,4,0.7125511506800071,0.712542932080291,0.7641711791288839,2.9802322387695312e-08,2.9802322387695312e-08,0.685027073984684,0.685027073984684,True,3.3544706907123327
10,1,0.001,4,0.6763766870133028,0.6763651109377303,0.7256917339151806,1.4901161193847656e-08,1.4901161193847656e-08,0.4797542265326172,0.4797542265326172,True,3.3931736927479506
11,1,0.001,4,0.643935806946403,0.6439199403322233,0.6894861559798937,2.9802322387695312e-08,2.9802322387695312e-08,0.6938118314639377,0.6938118314639377,True,3.3850602228194475
12,1,0.001,4,0.6216895342959619,0.6216676961585474,0.6641766812642442,2.9802322387695312e-08,2.9802322387695312e-08,0.5016637730925295,0.5016637730925295,True,3.386291477829218
13,1,0.001,4,0.6439420026674154,0.643913407604977,0.682852510187193,2.9802322387695312e-08,2.9802322387695312e-08,0.6020680008035066,0.6020680008035066,True,3.435483280569315
