update,stage_id,learning_rate,task_exposures,mean_total_objective,mean_thermal_smooth,mean_exact_tmax,maximum_projection_absolute_error,maximum_material_fraction_error,gradient_norm_before_clipping,gradient_norm_after_clipping,all_gradients_finite,wall_seconds
0,1,0.001,4,0.7735353463086724,0.7735353463086724,0.8318405506341026,5.960464477539063e-08,5.960464477539063e-08,0.09549492581951594,0.09549492581951594,True,4.016572467982769
1,1,0.001,4,0.6995550233988915,0.6995547831106532,0.7597793880763055,2.9802322387695312e-08,2.9802322387695312e-08,0.14248412496418997,0.14248412496418997,True,3.3211235757917166
2,1,0.001,4,0.6994806213872543,0.6994801106258346,0.7595334136422475,2.9802322387695312e-08,2.9802322387695312e-08,0.1360798212482979,0.1360798212482979,True,3.319666126742959
3,1,0.001,4,0.7153052373153099,0.7153043638766305,0.7747181841352615,2.9802322387695312e-08,2.9802322387695312e-08,0.18219998646067329,0.18219998646067329,True,3.291338013485074
4,1,0.001,4,0.6893680327496593,0.6893666804446009,0.7480753879487579,2.9802322387695312e-08,2.9802322387695312e-08,0.19051655872065973,0.19051655872065973,True,3.314372941851616
5,1,0.001,4,0.6755115069290994,0.6755095062206754,0.7340060181590865,1.4901161193847656e-08,1.4901161193847656e-08,0.19140773116115917,0.19140773116115917,True,3.2736056447029114
6,1,0.001,4,0.7016609620037617,0.7016581850319763,0.7592976744466019,4.470348358154297e-08,4.470348358154297e-08,0.3922585115150437,0.3922585115150437,True,3.276132335886359
7,1,0.001,4,0.7252940802320406,0.7252900442910647,0.7820426575898383,4.470348358154297e-08,4.470348358154297e-08,0.5124112476666043,0.5124112476666043,True,3.343767302110791
8,1,0.001,4,0.7026814164903906,0.7026760810448749,0.7584109788039605,2.9802322387695312e-08,2.9802322387695312e-08,0.5107061804883429,0.5107061804883429,True,3.304505145177245
9,1,0.001,4,0.7127437066587667,0.7127356977931272,0.765503355142342,4.470348358154297e-08,4.470348358154297e-08,0.6374550685030246,0.6374550685030246,True,3.245132042095065
10,1,0.001,4,0.6715995099037111,0.6715880086103145,0.7220129027241003,2.9802322387695312e-08,2.9802322387695312e-08,0.5121168626022625,0.5121168626022625,True,3.290591923519969
11,1,0.001,4,0.6358659072978452,0.6358497411882533,0.6827191974572835,2.9802322387695312e-08,2.9802322387695312e-08,0.6951474740882675,0.6951474740882675,True,3.310450615361333
12,1,0.001,4,0.6115206732303332,0.6114975652327258,0.6550451510653177,2.9802322387695312e-08,2.9802322387695312e-08,0.4050904013212382,0.4050904013212382,True,3.3817217480391264
13,1,0.001,4,0.6370207016629829,0.6369898795032604,0.6766407787136337,1.4901161193847656e-08,1.4901161193847656e-08,0.4546347194870608,0.4546347194870608,True,3.4364970605820417
14,1,0.001,4,0.5980941190834997,0.5980605682133606,0.6343511688515726,0.0,0.0,0.23808387116119403,0.23808387116119403,True,3.3876356557011604
15,1,0.001,4,0.5599514258786971,0.5599130574766481,0.5947074032771084,2.9802322387695312e-08,2.9802322387695312e-08,0.41508319795801846,0.41508319795801846,True,3.377559842541814
16,1,0.001,4,0.5579088159238812,0.5578682437965539,0.5889707095484988,5.960464477539063e-08,5.960464477539063e-08,0.5300730790115076,0.5300730790115076,True,3.319067422300577
