role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,225,9.880164372320056e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.83771419594861e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.837714263042086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,225,8.172633963253749e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.264873241594658e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.264873249774438e-07,True,CONVERGED,float64,cuda:0
forward,0,262,9.36203837395091e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.601981907305987e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.61822410203113e-07,True,CONVERGED,float64,cuda:0
adjoint,0,251,9.476410065514647e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.12299321165366e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.109180111513933e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.91798406452363e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.42167971522464e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.421537521075444e-07,True,CONVERGED,float64,cuda:0
adjoint,0,255,9.253838891195667e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.094579645888644e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.091639432842124e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.449999711981101e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.848664652478781e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.849683990849378e-07,True,CONVERGED,float64,cuda:0
adjoint,0,258,9.86417999523963e-07,True,CONVERGED,float64,cuda:0
adjoint,1,294,9.63114001071807e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.600132105096902e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.582522582931401e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.488208449626554e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.519228497844416e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,8.895916492694379e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.24564913318395e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.258402996533947e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.651418615767979e-07,True,CONVERGED,float64,cuda:0
forward,1,301,9.259401983967384e-07,True,CONVERGED,float64,cuda:0
forward,2,301,9.26874236400039e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,9.229670851638969e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.76330034632864e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.8027567910942e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.394320802801517e-07,True,CONVERGED,float64,cuda:0
forward,1,297,9.705493252464285e-07,True,CONVERGED,float64,cuda:0
forward,2,297,9.358537621505399e-07,True,CONVERGED,float64,cuda:0
adjoint,0,257,9.830589988566473e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.515441634367891e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.419572239677383e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.166537335809836e-07,True,CONVERGED,float64,cuda:0
forward,1,299,8.506084902752643e-07,True,CONVERGED,float64,cuda:0
forward,2,298,9.870968563948906e-07,True,CONVERGED,float64,cuda:0
adjoint,0,270,9.811337873022854e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.846194260280103e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.337070798685796e-07,True,CONVERGED,float64,cuda:0
forward,0,273,9.594767708253715e-07,True,CONVERGED,float64,cuda:0
forward,1,297,9.98312372073018e-07,True,CONVERGED,float64,cuda:0
forward,2,297,9.453692894237557e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,9.6077243825996e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.467242537359932e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.338473309191708e-07,True,CONVERGED,float64,cuda:0
forward,0,267,9.334969170684817e-07,True,CONVERGED,float64,cuda:0
forward,1,283,9.495535286748634e-07,True,CONVERGED,float64,cuda:0
forward,2,283,9.64923036855939e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,9.703259870789782e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.204422744580055e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.238965637415106e-07,True,CONVERGED,float64,cuda:0
forward,0,264,9.547203846720937e-07,True,CONVERGED,float64,cuda:0
forward,1,282,8.809422719867301e-07,True,CONVERGED,float64,cuda:0
forward,2,281,9.133389753765537e-07,True,CONVERGED,float64,cuda:0
adjoint,0,267,8.37272710570671e-07,True,CONVERGED,float64,cuda:0
adjoint,1,288,9.269406986703578e-07,True,CONVERGED,float64,cuda:0
adjoint,2,288,9.337211506779146e-07,True,CONVERGED,float64,cuda:0
