iteration,total_objective,thermal_smooth,exact_continuous_tmax,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,projection_absolute_error,material_logit_mean,material_logit_std,material_logit_minimum,material_logit_maximum,material_std,hidden_state_rms,delta_state_rms,maximum_absolute_delta,maximum_absolute_state,gradient_norm_before_clipping,gradient_norm_after_clipping,conv3x3_weight_gradient_norm,conv1x1_weight_gradient_norm,all_parameter_gradients_finite,maximum_cg_iterations,maximum_explicit_relative_residual,all_cg_converged,finite,wall_seconds
0,0.7078165659453859,0.7040665665414323,0.717857933544868,0.0,0.1874999701976776,0.24999994039535522,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40930267138296983,0.40930267138296983,0.0,0.409302681684494,True,294,9.880164372320056e-07,True,True,2.446890799998073
1,0.7049836503792588,0.701234123964355,0.7148211009654518,0.0008800363866612315,0.18743231892585754,0.25,0.0,0.0,0.007652866654098034,0.005568338092416525,0.005351040977984667,0.024146074429154396,0.008226590231060982,0.0,3.6969882785342634e-05,0.000377583724912256,0.024146074429154396,0.533308789221388,0.533308789221388,0.01303839311003685,0.5331482291221619,True,302,9.61822410203113e-07,True,True,1.7602825000067241
2,0.7007469100715664,0.6970016944472285,0.7104828424000007,0.002004891401156783,0.18716053664684296,0.25,0.0,0.0,0.005220562219619751,0.01215117983520031,0.0002189645019825548,0.04122677445411682,0.01842455193400383,0.007693043444305658,0.00012733961921185255,0.0006550014368258417,0.04122677445411682,0.6997419476324346,0.6997419476324346,0.03252888098359108,0.6989792585372925,True,305,9.91798406452363e-07,True,True,1.7907391999906395
3,0.6945617233989322,0.6908279441620251,0.7043094459548864,0.0034517499152570963,0.18651637434959412,0.25,0.0,0.0,0.0030977237038314342,0.0201131459325552,-0.005225749220699072,0.06272633373737335,0.0313628725707531,0.01658976636826992,0.0002633169642649591,0.001032853964716196,0.06272633373737335,0.8815219314832438,0.8815219314832438,0.058824922889471054,0.8795381784439087,True,304,9.86417999523963e-07,True,True,1.8103551999956835
4,0.685896614450437,0.6821875783502469,0.6953764125589491,0.00533341197296977,0.18518513441085815,0.25,0.0,0.0,0.0017189797945320606,0.0299592986702919,-0.010748259723186493,0.0906391367316246,0.04811303690075874,0.02623472921550274,0.00041416261228732765,0.0015741682145744562,0.0906391367316246,1.0462608801828048,0.9999991228026612,0.08947664499282837,1.0423829555511475,True,303,9.582522582931401e-07,True,True,1.9024322000041138
5,0.6743618963194076,0.6707033478199501,0.6832766589104332,0.00784685742110014,0.1825350821018219,0.25,0.0,0.0,0.0015495705883949995,0.04261596128344536,-0.0162814911454916,0.12826141715049744,0.070462167263031,0.037667758762836456,0.0005951756029389799,0.002391706220805645,0.12826141715049744,1.141323197226063,0.999999179687674,0.11771076172590256,1.1351484060287476,True,301,9.8027567910942e-07,True,True,1.9685849999950733
6,0.6603136165182679,0.6567557655315488,0.6690600029401713,0.011235743761062622,0.17733076214790344,0.2499999850988388,0.072998046875,1.4901161193847656e-08,0.003652238752692938,0.059578441083431244,-0.02141098491847515,0.1812659651041031,0.10084258764982224,0.05233563855290413,0.0008308165124617517,0.003694473998621106,0.1812659651041031,1.0896164101254464,0.9999990973706658,0.13031582534313202,1.0816482305526733,True,297,9.830589988566473e-07,True,True,1.9409518000029493
7,0.6458242766104371,0.6424581833343685,0.6541512423205342,0.015635130926966667,0.16752290725708008,0.25,0.1103515625,0.0,0.011596446856856346,0.08314035087823868,-0.023562902584671974,0.26036885380744934,0.14134033024311066,0.07216916978359222,0.0011573241790756583,0.005880326498299837,0.26036885380744934,0.8366614192629382,0.8366614192629382,0.11267223954200745,0.8288431763648987,True,299,9.870968563948906e-07,True,True,1.9550233999907505
8,0.6342264288917641,0.6311887073137323,0.6422969253792168,0.02072221413254738,0.15084996819496155,0.2499999701976776,0.116943359375,2.9802322387695312e-08,0.030489657074213028,0.11740384995937347,-0.019426260143518448,0.38355785608291626,0.19144196808338165,0.10112370550632477,0.0016523069934919477,0.009729769080877304,0.38355785608291626,0.47271501560758494,0.47271501560758494,0.07052157074213028,0.46722355484962463,True,297,9.98312372073018e-07,True,True,1.945127200015122
9,0.6273737843298652,0.6247755524666347,0.6351118453246307,0.025145243853330612,0.1286543309688568,0.25,0.13720703125,0.0,0.06216081231832504,0.16888388991355896,-0.010066170245409012,0.5733234882354736,0.24258124828338623,0.14614708721637726,0.0024598250165581703,0.016608286648988724,0.5733234882354736,0.2285561764226171,0.2285561764226171,0.04198819398880005,0.22447267174720764,True,289,9.703259870789782e-07,True,True,1.910506099986378
