role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,225,9.880164372320056e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.83771419594861e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.837714263042086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,225,8.172633963253749e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.264873241594658e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.264873249774438e-07,True,CONVERGED,float64,cuda:0
forward,0,272,9.886567231373047e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.526703937564749e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.537619848061747e-07,True,CONVERGED,float64,cuda:0
adjoint,0,251,9.850220016495874e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.811765699170274e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.741350921424103e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.758511424371862e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.362554290894841e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.364370630194639e-07,True,CONVERGED,float64,cuda:0
adjoint,0,255,9.927728115849976e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.738834839559498e-07,True,CONVERGED,float64,cuda:0
adjoint,2,291,9.738711829253394e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.830779094689886e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.58905621848457e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.605181762481224e-07,True,CONVERGED,float64,cuda:0
adjoint,0,259,9.329273230088782e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.339391115729253e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.330473277830283e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.275384836430549e-07,True,CONVERGED,float64,cuda:0
forward,1,303,9.090940287054907e-07,True,CONVERGED,float64,cuda:0
forward,2,303,9.136906999910757e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,8.954282016159304e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.150047794261164e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.177305460326516e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.177949116275328e-07,True,CONVERGED,float64,cuda:0
forward,1,298,9.897650404672014e-07,True,CONVERGED,float64,cuda:0
forward,2,299,9.067357608963258e-07,True,CONVERGED,float64,cuda:0
adjoint,0,269,9.517425400444988e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.223089568273511e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.334969476406135e-07,True,CONVERGED,float64,cuda:0
forward,0,260,9.936271207241387e-07,True,CONVERGED,float64,cuda:0
forward,1,299,8.721053893442888e-07,True,CONVERGED,float64,cuda:0
forward,2,299,8.624722087811961e-07,True,CONVERGED,float64,cuda:0
adjoint,0,256,9.464373607931447e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.467400480929021e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.971075278683704e-07,True,CONVERGED,float64,cuda:0
forward,0,278,9.931056325543676e-07,True,CONVERGED,float64,cuda:0
forward,1,299,8.682095282993133e-07,True,CONVERGED,float64,cuda:0
forward,2,298,9.841488130896906e-07,True,CONVERGED,float64,cuda:0
adjoint,0,272,9.677681884886447e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,8.896511704618665e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.089706483292901e-07,True,CONVERGED,float64,cuda:0
forward,0,275,9.365289076446943e-07,True,CONVERGED,float64,cuda:0
forward,1,296,9.87618968850314e-07,True,CONVERGED,float64,cuda:0
forward,2,295,9.634209094867012e-07,True,CONVERGED,float64,cuda:0
adjoint,0,273,8.738499338420639e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.426902308686306e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.436812025516131e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.318673406221655e-07,True,CONVERGED,float64,cuda:0
forward,1,283,9.875711096867108e-07,True,CONVERGED,float64,cuda:0
forward,2,283,9.914226509864875e-07,True,CONVERGED,float64,cuda:0
adjoint,0,277,9.836059560910338e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.331776909568435e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.621666432345884e-07,True,CONVERGED,float64,cuda:0
forward,0,270,9.661428150107441e-07,True,CONVERGED,float64,cuda:0
forward,1,284,9.801984479939067e-07,True,CONVERGED,float64,cuda:0
forward,2,281,8.984524772850913e-07,True,CONVERGED,float64,cuda:0
adjoint,0,278,9.046887586217853e-07,True,CONVERGED,float64,cuda:0
adjoint,1,288,9.54868918659281e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.358934806899444e-07,True,CONVERGED,float64,cuda:0
