iteration,total_objective,thermal_smooth,exact_continuous_tmax,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,projection_absolute_error,material_logit_mean,material_logit_std,material_logit_minimum,material_logit_maximum,material_std,hidden_state_rms,delta_state_rms,maximum_absolute_delta,maximum_absolute_state,gradient_norm_before_clipping,gradient_norm_after_clipping,conv3x3_weight_gradient_norm,conv1x1_weight_gradient_norm,all_parameter_gradients_finite,maximum_cg_iterations,maximum_explicit_relative_residual,all_cg_converged,finite,wall_seconds
0,0.7078165659453859,0.7040665665414323,0.717857933544868,0.0,0.1874999701976776,0.24999994039535522,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4756661292789428,0.4756661292789428,0.0,0.4756661355495453,True,294,9.880164372320056e-07,True,True,1.858045500004664
1,0.7042950789984613,0.7005459585847864,0.7141244927380846,0.0010289544006809592,0.1874045729637146,0.25,0.0,0.0,0.0070181796327233315,0.006576228886842728,0.0034315630327910185,0.026471324265003204,0.00976859126240015,0.0,3.7569450796581805e-05,0.0004137674404773861,0.026471324265003204,0.6437011160768332,0.6437011160768332,0.013581407256424427,0.6435568928718567,True,303,9.886567231373047e-07,True,True,1.9479855000099633
2,0.6990870575942209,0.6953441496733686,0.7088430771540717,0.002286115661263466,0.187031090259552,0.25,0.0,0.0,0.0035310075618326664,0.014155981130897999,-0.003807347733527422,0.04547594487667084,0.021654121577739716,0.00751545699313283,0.00012718535435851663,0.0007189222378656268,0.04547594487667084,0.8438516961676807,0.8438516961676807,0.03398418053984642,0.8431622982025146,True,305,9.927728115849976e-07,True,True,1.9847428999783006
3,0.6916945990253225,0.6879673087856717,0.7013896156226579,0.003869738895446062,0.1861710250377655,0.25,0.0,0.0,0.0002943448780570179,0.02311796322464943,-0.010113870725035667,0.06887304782867432,0.03645496815443039,0.016163386404514313,0.0002607097558211535,0.0011204980546608567,0.06887304782867432,1.03841658691624,0.9999991263338878,0.060344431549310684,1.0366485118865967,True,304,9.830779094689886e-07,True,True,1.9701023999950849
4,0.6817383314587705,0.6780436623960331,0.6910313687015691,0.005926246289163828,0.18443714082241058,0.25,0.0,0.0,-0.0025541551876813173,0.03404265269637108,-0.016526278108358383,0.09857678413391113,0.055343147367239,0.025670558214187622,0.0004108602006454021,0.0016787371132522821,0.09857678413391113,1.1838796890040173,0.9999991605679301,0.08862059563398361,1.1805304288864136,True,303,9.275384836430549e-07,True,True,2.006852499995148
5,0.669160793868446,0.665530462735885,0.6781280062010444,0.008640263229608536,0.181084543466568,0.25,0.0263671875,0.0,-0.004735993221402168,0.04791318625211716,-0.02453155443072319,0.13784588873386383,0.08009656518697739,0.03709668666124344,0.0005930617917329073,0.0025020972825586796,0.13784588873386383,1.22017603551726,0.9999992319816017,0.1105550080537796,1.2151095867156982,True,299,9.897650404672014e-07,True,True,1.9618043999944348
6,0.6549810558071484,0.651472525490274,0.6636222431780842,0.012177882716059685,0.17481762170791626,0.25,0.08203125,0.0,-0.005694234743714333,0.0661284327507019,-0.033200666308403015,0.19152066111564636,0.11261609941720963,0.05150751397013664,0.0008256246219389141,0.003770536510273814,0.19152066111564636,1.0803636171651751,0.9999991101079757,0.11362993717193604,1.0743045806884766,True,299,9.971075278683704e-07,True,True,1.9325792000163347
7,0.6416653317269234,0.6383730772137939,0.649998813609681,0.016535824164748192,0.1637859344482422,0.2499999850988388,0.112548828125,1.4901161193847656e-08,-0.004176170099526644,0.09086696803569794,-0.0422208197414875,0.267570436000824,0.15399371087551117,0.07056683301925659,0.0011391752632334828,0.005802040454000235,0.267570436000824,0.7615967566922338,0.7615967566922338,0.0900726169347763,0.7561787366867065,True,299,9.931056325543676e-07,True,True,1.9655228999909014
8,0.6319624166556431,0.6290106207591278,0.6400430607787821,0.021244129166007042,0.14652758836746216,0.25,0.126708984375,0.0,0.0037587464321404696,0.12598970532417297,-0.04935774952173233,0.3818756341934204,0.20241643488407135,0.09787100553512573,0.0016012884443625808,0.009251405484974384,0.3818756341934204,0.4043012357189728,0.4043012357189728,0.053036823868751526,0.4007474482059479,True,296,9.87618968850314e-07,True,True,1.9379766999918502
9,0.6265921182577364,0.6240564331357233,0.6343801560600577,0.02503913640975952,0.12553229928016663,0.2499999850988388,0.13818359375,1.4901161193847656e-08,0.02116880752146244,0.17664358019828796,-0.053889933973550797,0.5534883737564087,0.2489331066608429,0.13848643004894257,0.002317270264029503,0.015131172724068165,0.5534883737564087,0.20649453740135382,0.20649453740135382,0.03350764513015747,0.20370951294898987,True,289,9.914226509864875e-07,True,True,1.93314029998146
10,0.6231597898880582,0.6209871845393072,0.6307580049421042,0.02724285237491131,0.10726812481880188,0.2499999701976776,0.142578125,2.9802322387695312e-08,0.0487099289894104,0.2482067495584488,-0.057704877108335495,0.7995247840881348,0.2832522988319397,0.19789640605449677,0.003416438354179263,0.024634532630443573,0.7995247840881348,0.17114674828514403,0.17114674828514403,0.035168781876564026,0.1674366146326065,True,289,9.801984479939067e-07,True,True,1.9446463999920525
11,0.6192242981868376,0.6173180356214334,0.6266663735008244,0.02890728786587715,0.09386776387691498,0.2499999850988388,0.160888671875,1.4901161193847656e-08,0.08860412240028381,0.3479928970336914,-0.062181517481803894,1.1429766416549683,0.30599382519721985,0.284259557723999,0.005091002676635981,0.039067137986421585,1.1429766416549683,0.2025422765746402,0.2025422765746402,0.048417478799819946,0.19657541811466217,True,297,9.93684359891429e-07,True,True,1.9668764999951236
12,0.6126912899498048,0.61100927965121,0.6200159216518196,0.031084274873137474,0.08254630118608475,0.2499999701976776,0.16748046875,2.9802322387695312e-08,0.1450011134147644,0.4860847592353821,-0.06863020360469818,1.611085295677185,0.32396554946899414,0.4101039469242096,0.007620937190949917,0.05872882530093193,1.611085295677185,0.3286140296236937,0.3286140296236937,0.08604418486356735,0.3169366717338562,True,299,9.82585114837364e-07,True,True,1.961102100001881
13,0.6013301829358818,0.5998837374409915,0.6085783648270716,0.034447669982910156,0.07059989124536514,0.2499999850988388,0.1806640625,1.4901161193847656e-08,0.22202971577644348,0.6701909899711609,-0.07911156117916107,2.207817316055298,0.3419065773487091,0.5887334942817688,0.011253474280238152,0.07955103367567062,2.207817316055298,0.4617440512851041,0.4617440512851041,0.1361430287361145,0.4408279359340668,True,295,9.856507231679412e-07,True,True,1.94974069998716
14,0.5865162150682268,0.5853757300795375,0.5938279152405511,0.03971497714519501,0.05503850057721138,0.25,0.2021484375,0.0,0.31676220893859863,0.8856335878372192,-0.09545425325632095,2.8507909774780273,0.3639526069164276,0.8142169713973999,0.015715114772319794,0.0931427851319313,2.8507909774780273,0.44106489691421336,0.44106489691421336,0.1210106760263443,0.42358916997909546,True,292,9.861762482045265e-07,True,True,1.9276467000017874
