role,scenario_index,iterations,relative_residual,converged,reason,dtype,device
forward,0,225,9.880164372320056e-07,True,CONVERGED,float64,cuda:0
forward,1,294,9.83771419594861e-07,True,CONVERGED,float64,cuda:0
forward,2,294,9.837714263042086e-07,True,CONVERGED,float64,cuda:0
adjoint,0,225,8.172633963253749e-07,True,CONVERGED,float64,cuda:0
adjoint,1,290,9.264873241594658e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.264873249774438e-07,True,CONVERGED,float64,cuda:0
forward,0,269,9.275623056990476e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.340065642501449e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.345389988527174e-07,True,CONVERGED,float64,cuda:0
adjoint,0,251,9.624165639645748e-07,True,CONVERGED,float64,cuda:0
adjoint,1,288,9.514512419522502e-07,True,CONVERGED,float64,cuda:0
adjoint,2,287,9.564168905381138e-07,True,CONVERGED,float64,cuda:0
forward,0,276,8.978711830583556e-07,True,CONVERGED,float64,cuda:0
forward,1,305,9.358428189262611e-07,True,CONVERGED,float64,cuda:0
forward,2,305,9.360382559647397e-07,True,CONVERGED,float64,cuda:0
adjoint,0,256,9.589902511742312e-07,True,CONVERGED,float64,cuda:0
adjoint,1,292,9.15025086950098e-07,True,CONVERGED,float64,cuda:0
adjoint,2,292,9.148481344527398e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.148273976708118e-07,True,CONVERGED,float64,cuda:0
forward,1,304,9.442138270853594e-07,True,CONVERGED,float64,cuda:0
forward,2,304,9.457231288686629e-07,True,CONVERGED,float64,cuda:0
adjoint,0,259,9.582317096747792e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,9.449815520372468e-07,True,CONVERGED,float64,cuda:0
adjoint,2,295,9.433753384360932e-07,True,CONVERGED,float64,cuda:0
forward,0,276,9.038644361710248e-07,True,CONVERGED,float64,cuda:0
forward,1,302,9.92681854113055e-07,True,CONVERGED,float64,cuda:0
forward,2,302,9.9527092612977e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,8.845946788354286e-07,True,CONVERGED,float64,cuda:0
adjoint,1,295,8.931053783233614e-07,True,CONVERGED,float64,cuda:0
adjoint,2,294,9.991418346754768e-07,True,CONVERGED,float64,cuda:0
forward,0,274,9.264004730557476e-07,True,CONVERGED,float64,cuda:0
forward,1,295,9.735255364402985e-07,True,CONVERGED,float64,cuda:0
forward,2,296,9.207860610337645e-07,True,CONVERGED,float64,cuda:0
adjoint,0,268,9.94754848648783e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.761941545417371e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.86899227096707e-07,True,CONVERGED,float64,cuda:0
forward,0,262,9.79009394208349e-07,True,CONVERGED,float64,cuda:0
forward,1,299,8.670349198192752e-07,True,CONVERGED,float64,cuda:0
forward,2,299,8.530279271234489e-07,True,CONVERGED,float64,cuda:0
adjoint,0,256,9.091526179860717e-07,True,CONVERGED,float64,cuda:0
adjoint,1,291,9.587706198941797e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.54449837855019e-07,True,CONVERGED,float64,cuda:0
forward,0,278,9.516696184078757e-07,True,CONVERGED,float64,cuda:0
forward,1,299,8.565871653953482e-07,True,CONVERGED,float64,cuda:0
forward,2,298,9.84910991729249e-07,True,CONVERGED,float64,cuda:0
adjoint,0,272,8.461149869551594e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.731978818666067e-07,True,CONVERGED,float64,cuda:0
adjoint,2,289,9.08809176252865e-07,True,CONVERGED,float64,cuda:0
forward,0,271,9.569835784939683e-07,True,CONVERGED,float64,cuda:0
forward,1,296,9.475270354959605e-07,True,CONVERGED,float64,cuda:0
forward,2,295,9.568785562736632e-07,True,CONVERGED,float64,cuda:0
adjoint,0,272,8.142990856224137e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.743719007260812e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.264976314396334e-07,True,CONVERGED,float64,cuda:0
forward,0,268,8.764677619515338e-07,True,CONVERGED,float64,cuda:0
forward,1,286,9.245766380532603e-07,True,CONVERGED,float64,cuda:0
forward,2,283,8.727305073705558e-07,True,CONVERGED,float64,cuda:0
adjoint,0,271,9.71373827958835e-07,True,CONVERGED,float64,cuda:0
adjoint,1,289,9.835077778881862e-07,True,CONVERGED,float64,cuda:0
adjoint,2,290,9.50273554773816e-07,True,CONVERGED,float64,cuda:0
