iteration,total_objective,thermal_smooth,exact_continuous_tmax,total_variation,binarization_penalty,continuous_material_fraction,binary_material_fraction,projection_absolute_error,material_logit_mean,material_logit_std,material_logit_minimum,material_logit_maximum,material_std,hidden_state_rms,delta_state_rms,maximum_absolute_delta,maximum_absolute_state,gradient_norm_before_clipping,gradient_norm_after_clipping,conv3x3_weight_gradient_norm,conv1x1_weight_gradient_norm,all_parameter_gradients_finite,maximum_cg_iterations,maximum_explicit_relative_residual,all_cg_converged,finite,wall_seconds
0,0.7078165659453859,0.7040665665414323,0.717857933544868,0.0,0.1874999701976776,0.24999994039535522,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4626749877815168,0.4626749877815168,0.0,0.46267497539520264,True,294,9.880164372320056e-07,True,True,5.1100769999902695
1,0.7041402908769298,0.7003913739405899,0.7139444942658421,0.001132739009335637,0.18738920986652374,0.2499999850988388,0.0,1.4901161193847656e-08,0.00875086709856987,0.007065783254802227,0.004066743887960911,0.0297031719237566,0.010525433346629143,0.0,4.3935007852269337e-05,0.00046476765419356525,0.0297031719237566,0.6339041016443523,0.6339041016443523,0.013854630291461945,0.6337517499923706,True,304,9.624165639645748e-07,True,True,5.965862300014123
2,0.6986594768950596,0.6949176968826792,0.708416993217363,0.0024742777459323406,0.18696528673171997,0.25,0.0,0.0,0.0073523735627532005,0.01505823340266943,-0.0015080864541232586,0.05202291160821915,0.023123614490032196,0.008133836090564728,0.00013938345364294946,0.000819671549834311,0.05202291160821915,0.8384646152534886,0.8384646152534886,0.035155389457941055,0.8377221822738647,True,305,9.589902511742312e-07,True,True,5.575966999982484
3,0.69088939580397,0.6871653172963417,0.7005469264180189,0.004124016966670752,0.18599772453308105,0.2499999701976776,0.0,2.9802322387695312e-08,0.0062218536622822285,0.024464474990963936,-0.006317530758678913,0.07888635247945786,0.03875909000635147,0.01724317856132984,0.0002789174031931907,0.0012767537264153361,0.07888635247945786,1.0331522902902974,0.9999991608819178,0.062291745096445084,1.0312577486038208,True,304,9.582317096747792e-07,True,True,5.850951200001873
4,0.6805107185218199,0.6768234460057406,0.6896965060150625,0.006215122528374195,0.18405286967754364,0.2499999701976776,0.0,2.9802322387695312e-08,0.005738092120736837,0.03593358024954796,-0.010125272907316685,0.11262496560811996,0.058712199330329895,0.02720913477241993,0.0004357633297331631,0.0019046018132939935,0.11262496560811996,1.1695575552641084,0.9999991922654549,0.09042087942361832,1.166024088859558,True,302,9.991418346754768e-07,True,True,6.857961300003808
5,0.6676037448635245,0.6639888963354671,0.6764951937995667,0.009018752723932266,0.18029148876667023,0.25,0.046875,0.0,0.0062772356905043125,0.0505591481924057,-0.01438471581786871,0.15694500505924225,0.08490291982889175,0.03944050148129463,0.0006303521222434938,0.002825855975970626,0.15694500505924225,1.183320889469408,0.9999992159778176,0.11044074594974518,1.178097128868103,True,296,9.94754848648783e-07,True,True,6.02008869999554
6,0.6534688635879184,0.6499903934384684,0.6619496436951936,0.012693109922111034,0.17328885197639465,0.2499999850988388,0.08935546875,1.4901161193847656e-08,0.008478280156850815,0.06986211985349655,-0.02029009908437729,0.217146098613739,0.11921055614948273,0.05508109927177429,0.0008826208068057895,0.0042389133013784885,0.217146098613739,1.0098626041613126,0.9999991023995846,0.10971082001924515,1.0038013458251953,True,299,9.79009394208349e-07,True,True,3.124337299988838
7,0.6408072472871302,0.6375670126550852,0.6490219045686468,0.017130453139543533,0.16115520894527435,0.2499999701976776,0.113525390625,2.9802322387695312e-08,0.013258238323032856,0.0962032899260521,-0.02664257399737835,0.30142277479171753,0.16231074929237366,0.07598553597927094,0.0012269170256331563,0.006483328994363546,0.30142277479171753,0.6682872179249792,0.6682872179249792,0.0829978659749031,0.6630233526229858,True,299,9.84910991729249e-07,True,True,3.2875500000081956
8,0.6321725412705833,0.6292936816649431,0.6400941572517005,0.02171364054083824,0.14285729825496674,0.25,0.13330078125,0.0,0.02206994593143463,0.1337161362171173,-0.03381740674376488,0.42402470111846924,0.2112881988286972,0.10621221363544464,0.001739474362693727,0.010231873951852322,0.42402470111846924,0.3233657873195966,0.3233657873195966,0.047742098569869995,0.3197549283504486,True,296,9.743719007260812e-07,True,True,2.8373290000017732
9,0.6276594449582148,0.6251947228985477,0.6353180583118686,0.02511885017156601,0.12198016047477722,0.25,0.139404296875,0.0,0.03712238743901253,0.18743912875652313,-0.04188913851976395,0.6028383374214172,0.25596845149993896,0.15093035995960236,0.00252845068462193,0.016499053686857224,0.6028383374214172,0.1513989430426,0.1513989430426,0.03229934722185135,0.1478651612997055,True,290,9.835077778881862e-07,True,True,3.254178300005151
