task_index,field_gap_64,sens_gap_64,field_gap_256,sens_gap_256
0,-0.0811811356746192,-0.0476521695474998,-0.07855047947491985,-0.04833786712106312
1,-0.0814348914072822,-0.0515662856492451,-0.07373332517385656,-0.04873146004792191
2,-0.0234237788131401,-0.0109967244030508,-0.023338241342785233,-0.01415914115186628
3,-0.0422823891568133,-0.0414686575686068,-0.045724247580958687,-0.04286713022999944
4,-0.075918246129105,-0.0626983239970228,-0.07082558614577183,-0.06232181033644378
5,-0.091208725179319,-0.0660140800628168,-0.08554953702956018,-0.06079528701578155
6,-0.0019310952374899,-0.0064302703832493,0.004845025160271369,-0.00045246757400856726
7,-0.0408436521179799,-0.037804354989751,-0.038043034239471564,-0.03564518473090508
8,-0.0505061825202483,-0.054562344934296,-0.04126400974886781,-0.05478009530404232
9,-0.0091258311747258,-0.0163056308273999,-0.007351361095187238,-0.013971742387803084
10,-0.1130197283152411,-0.0825847327881005,-0.11088089215112941,-0.08447662047239281
11,-0.1085757236639504,-0.0945553185637181,-0.10286096459539155,-0.09286400277720529
12,-0.0578535523414073,-0.0440249241562392,-0.053079376453949584,-0.04137360575633101
13,-0.0410980522624569,-0.0362947840404917,-0.037852352116814286,-0.032436408790198754
14,-0.0555908245852596,-0.0462520417829262,-0.05902725745583985,-0.05026174766980531
15,-0.0726319715967857,-0.0553054398469187,-0.07003185409168178,-0.055779006731374085
16,-0.0476970630401223,-0.0416678021149851,-0.044628113173727314,-0.041422985057694914
17,-0.0560042248911208,-0.0455642014574743,-0.04741182481476877,-0.04199093264580756
18,-0.0432330119076236,-0.0345311091213926,-0.039587862143252175,-0.03269135388301835
19,-0.0230792898347912,-0.010090193854249,-0.022969866309922298,-0.010428125111715583
20,-0.0280938959146264,-0.0280355923059746,-0.026175412383849062,-0.02659931324209864
21,-0.0987542895089955,-0.0797088994979678,-0.09510761902984746,-0.07892287785370802
22,-0.0508921466059751,-0.0295566715411948,-0.04697887501617692,-0.027894235275831583
23,-0.0414802357777787,-0.0250341123398365,-0.0396883591152213,-0.026383336909754057
24,-0.0839020378406861,-0.0647479805829522,-0.08099321450760935,-0.06621284659898911
25,-0.0706348873781383,-0.0461095050409249,-0.0675844412906507,-0.04725161315138532
26,-0.0977584121346261,-0.0840921979574896,-0.09906042930905964,-0.08889858801385428
27,-0.0609026223319462,-0.0379991829001705,-0.0566371045494477,-0.040074719549417936
28,-0.0606078063597177,-0.0481783386525943,-0.059769303273841036,-0.04690346654518144
29,-0.093359213078787,-0.0733050890802437,-0.08976866093130716,-0.0730133627737129
30,-0.0081617795260192,-0.0110698814537532,-0.007636291268549963,-0.008208268686911031
31,-0.0705517036418679,-0.0478338833895997,-0.0689695967116741,-0.049528356591506395
